direction,level,design,k,energy_iou_med,energy_iou_p05,energy_iou_p95,energy_precision_med,energy_precision_p05,energy_precision_p95,sure_day_recall_med,sure_day_recall_p05,sure_day_recall_p95,day_precision_med,day_precision_p05,day_precision_p95,fp_med,fp_p05,fp_p95,fn_med,fn_p05,fn_p95
alpha->beta,station,review,27,0.8787340985261946,0.8674381170074966,0.8916068604204593,0.9005072009613264,0.8941850635568691,0.9162621218853486,0.9339261957350073,0.8621738901746265,0.9511535323315428,0.8984071623759529,0.8826500789889415,0.9303007794146099,41.0,26.95,49.300000000000004,26.0,18.8,54.0
alpha->beta,station,review,54,0.8732841069074584,0.8663352928395951,0.8816348454456471,0.8990404763736959,0.8896610857733603,0.9061099881793498,0.9411827152505359,0.9272804923338108,0.9678133557381131,0.903380165055944,0.8780612763793543,0.9187877321981424,31.5,26.0,42.05,18.5,9.95,22.450000000000006
alpha->beta,station,review,108,0.8740837214595935,0.8671074270223273,0.8936941786065599,0.9053870922948353,0.8944456869284773,0.9183813405976479,0.9360182132202858,0.9122788931090613,0.9581840817134935,0.9270813552885007,0.9098472942532349,0.9456938146727125,14.0,9.95,17.1,12.5,7.9,17.0
beta->alpha,R0_within_cohort,-,-1,0.8692058067623027,0.8692058067623027,0.8692058067623027,0.8885742368962344,0.8885742368962344,0.8885742368962344,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9773162939297124,0.9773162939297124,0.9773162939297124,71.0,71.0,71.0,322.0,322.0,322.0
beta->alpha,all_labels_intercept,-,-1,0.8712171716797019,0.8712171716797019,0.8712171716797019,0.8917178172828927,0.8917178172828927,0.8917178172828927,0.8822833481218575,0.8822833481218575,0.8822833481218575,0.9828665568369028,0.9828665568369028,0.9828665568369028,52.0,52.0,52.0,398.0,398.0,398.0
beta->alpha,k0_source_pair,-,0,0.8741830166907575,0.8741830166907575,0.8741830166907575,0.9347037147440697,0.9347037147440697,0.9347037147440697,0.6299911268855368,0.6299911268855368,0.6299911268855368,0.99906191369606,0.99906191369606,0.99906191369606,2.0,2.0,2.0,1251.0,1251.0,1251.0
beta->alpha,population,random,9,0.8738349630808049,0.86883593328049,0.8765143094775945,0.9000669127322867,0.8924416477919431,0.9113120236955131,0.8269742679680567,0.7546583850931676,0.8848565513161787,0.9871840466373535,0.9806637192551088,0.9913731342168566,36.0,22.7,56.2,585.0,389.3,829.5
beta->alpha,population,random,18,0.8735473075624719,0.869571541928128,0.8771829207251236,0.8959050188512314,0.8903031983481308,0.9020645489668581,0.8599526767228631,0.8274622892635315,0.8889086069210292,0.9839865510122449,0.9812218444221792,0.9899719433103475,47.5,28.9,57.300000000000004,473.5,375.6,583.3500000000003
beta->alpha,population,random,27,0.8719799870023806,0.8694957909435,0.8761706618831662,0.8943477142257656,0.8912570590569944,0.9014732546852343,0.8645371191955042,0.831810115350488,0.8817805383022774,0.9838632022980658,0.9792059406229973,0.9890297558518988,48.5,31.85,62.1,458.0,399.7,568.6500000000001
beta->alpha,population,random,54,0.8714381398525658,0.8701610592070222,0.8730131523040298,0.8923182923046007,0.8906932953439579,0.8958769492074565,0.8738538893818397,0.8484472049689441,0.8833481218574386,0.9840079849075303,0.9813383833358522,0.9861349023522546,48.0,40.0,57.0,426.5,394.4,512.4
beta->alpha,population,random,108,0.871050640869508,0.8703317799835798,0.8730981107616113,0.8916492775179294,0.8906518081026918,0.8944797963344457,0.8799171842650104,0.8687222715173026,0.885876959479444,0.9830061313620639,0.981697075783814,0.9854018055820459,51.5,43.7,55.150000000000006,406.0,385.85,443.85
beta->alpha,population,review,9,0.8718368253374045,0.8702766376079694,0.8747142721618084,0.8930244131039241,0.8906715937277395,0.8968529184227865,0.870600414078675,0.8472789115646259,0.8852558414670216,0.9844033281533282,0.9816390431692197,0.9880435040688205,47.0,34.95,56.0,437.5,387.95,516.35
beta->alpha,population,review,18,0.8712302434485668,0.8700198405440941,0.8746472481781006,0.8921294578677706,0.8905308593630464,0.896788280380531,0.8741496598639455,0.851907719609583,0.8865720201123928,0.9834051982431651,0.9803100920110316,0.9880982879436928,49.5,34.8,60.150000000000006,425.5,383.5,500.70000000000005
beta->alpha,population,review,27,0.8714145661986501,0.8699797673502954,0.8728720141227615,0.8922269441463435,0.8903483549082988,0.8943239733170236,0.8788819875776397,0.8624371487725525,0.8891304347826087,0.9837135411096389,0.9807034442607077,0.9867292101356753,49.0,38.95,59.150000000000006,409.5,374.85,465.1
