direction,benchmark,station,intercept,slope,draw,fitted
alpha->beta,population_k27_review,beta_B,-4.80545110875393,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_C,-3.1311621280024435,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_D,-8.313548608397975,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_E,-7.604429363600007,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_F,-3.26426155652344,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_G,-3.143110471367076,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_H,-3.1251344142416704,3.2417711939699054,11.0,True
alpha->beta,population_k27_review,beta_A,-5.509911337380848,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_B,-3.3983422238695566,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_C,-4.481220591266728,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_D,-7.823643970709089,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_E,-3.148032363094579,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_F,-3.563647384821127,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_G,-5.436177252051565,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_H,-5.212292370912621,3.2417711939699054,12.0,True
alpha->beta,population_k27_review,beta_A,-3.140398222825286,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_B,-3.156430265784894,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_C,-3.1346379100588537,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_D,-6.443515086907902,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_E,-3.128980229810496,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_F,-3.1344680748299725,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_G,-3.188519612592239,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_H,-3.135105147165486,3.2417711939699054,13.0,True
alpha->beta,population_k27_review,beta_A,-6.18262562638603,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_B,-3.794342629360509,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_C,-3.39104382827624,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_D,-6.846954873997784,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_E,-3.62493192260234,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_F,-3.13775429139287,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_G,-3.127403894338805,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_H,-3.10507386848728,3.2417711939699054,14.0,True
alpha->beta,population_k27_review,beta_A,-3.516219154676918,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_B,-3.1430177622739524,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_C,-4.5361371512738655,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_D,-5.748435857314518,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_E,-3.5944451321311948,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_F,-3.133044488489885,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_G,-4.066844523902504,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_H,-3.1554433008876512,3.2417711939699054,15.0,True
alpha->beta,population_k27_review,beta_A,-3.1651006101265953,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_B,-3.47384595123848,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_C,-2.709951061529256,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_D,-5.570843467918592,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_E,-7.969015252958185,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_F,-3.138317455927839,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_G,-4.335638329796092,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_H,-4.991243985084637,3.2417711939699054,16.0,True
alpha->beta,population_k27_review,beta_A,-3.0715405021015867,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_B,-4.73468225487673,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_C,-4.08821872544978,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_D,-6.931983766162451,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_E,-3.981420010154924,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_F,-3.1453100945877823,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_G,-5.091954223364446,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_H,-7.763567962930556,3.2417711939699054,17.0,True
alpha->beta,population_k27_review,beta_A,-3.61664338683739,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_B,-6.338812773102494,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_C,-3.1247201194233885,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_D,-7.175674188446523,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_E,-3.1439592967870578,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_F,-3.1587361512738594,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_G,-4.139292670989891,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_H,-5.335173576131277,3.2417711939699054,18.0,True
alpha->beta,population_k27_review,beta_A,-3.1423247613900056,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_B,-5.240560914684994,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_C,-3.1287600621566733,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_D,-5.334317333707192,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_E,-4.42294647971615,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_F,-5.418681271968207,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_G,-4.183354933407812,3.2417711939699054,19.0,True
alpha->beta,population_k27_review,beta_H,-3.1150020227848767,3.2417711939699054,19.0,True
alpha->beta,station_k27_review,beta_A,-7.99280359800831,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_B,-3.0350759211466762,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_C,-0.08731178032739656,3.2417711939699054,0.0,False
alpha->beta,station_k27_review,beta_D,-6.66269837958508,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_E,-6.709331652181016,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_F,-8.554718807518789,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_G,-4.438802771165154,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_H,-4.9451948376554,3.2417711939699054,0.0,True
alpha->beta,station_k27_review,beta_A,-6.418303561323868,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_B,-3.0312350254175855,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_C,-0.08731178032739656,3.2417711939699054,1.0,False
alpha->beta,station_k27_review,beta_D,-7.546308726660484,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_E,-6.709902212652172,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_F,-9.396606190013031,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_G,-5.030706740235299,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_H,-4.945326423236708,3.2417711939699054,1.0,True
alpha->beta,station_k27_review,beta_A,-6.783216460836762,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_B,-3.028620352386058,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_C,-0.08731178032739656,3.2417711939699054,2.0,False
alpha->beta,station_k27_review,beta_D,-6.257944078198096,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_E,-7.99350781604517,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_F,-6.442399184828569,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_G,-4.742770608212585,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_H,-4.9453473988987495,3.2417711939699054,2.0,True
alpha->beta,station_k27_review,beta_A,-6.752610293930007,3.2417711939699054,3.0,True
alpha->beta,station_k27_review,beta_B,-3.030930922114608,3.2417711939699054,3.0,True
alpha->beta,station_k27_review,beta_C,-0.08731178032739656,3.2417711939699054,3.0,False
alpha->beta,station_k27_review,beta_D,-6.439044725113969,3.2417711939699054,3.0,True
alpha->beta,station_k27_review,beta_E,-8.029957293378606,3.2417711939699054,3.0,True
