direction,level,design,k,draw,n_days,n_rpf,energy_iou,energy_precision,day_precision,sure_day_recall,fp,fn,rate_uncertain,single_class_stations
beta->alpha,population,review,27,9,10425,3381,0.8705200967314206,0.891283411083536,0.98342175066313,0.8772552499260574,50,415,0.029448441247002397,0.0
beta->alpha,population,review,27,10,10425,3381,0.8720864014962952,0.8938932211858811,0.9871404399323181,0.8627624963028689,38,464,0.03155875299760192,0.0
beta->alpha,population,review,27,11,10425,3381,0.8730684191609217,0.8943071521606422,0.9866041527126591,0.8713398402839396,40,435,0.029160671462829735,0.0
beta->alpha,population,review,27,12,10425,3381,0.8708103890444571,0.8914625263391153,0.9807504078303426,0.8890860692102928,59,375,0.09707434052757793,0.0
beta->alpha,population,review,27,13,10425,3381,0.8716720732183503,0.8926858180828661,0.984005331556148,0.8734102336586809,48,428,0.025899280575539568,0.0
beta->alpha,population,review,27,14,10425,3381,0.8714240249338323,0.8923738931526081,0.9849749582637729,0.8725229222123632,45,431,0.020335731414868104,0.0
beta->alpha,population,review,27,15,10425,3381,0.8707563321343783,0.8907726383132716,0.9812314784326638,0.8813960366755398,57,401,0.034532374100719423,0.0
beta->alpha,population,review,27,16,10425,3381,0.8708930207525892,0.8909436086812081,0.9798111364376425,0.8899733806566105,62,372,0.04163069544364508,0.0
beta->alpha,population,review,27,17,10425,3381,0.8712190914647685,0.8913820370554829,0.9812191103789127,0.880804495711328,57,403,0.03856115107913669,0.0
beta->alpha,population,review,27,18,10425,3381,0.8698590032267215,0.8901846618505113,0.9829396325459318,0.8861283643892339,52,385,0.030119904076738608,0.0
beta->alpha,population,review,27,19,10425,3381,0.8701984341635445,0.8908232651358894,0.9812623274161736,0.8828748890860693,57,396,0.054388489208633095,0.0
beta->alpha,population,review,54,0,10425,3381,0.8697290328602417,0.8901561378063639,0.980411361410382,0.8881987577639752,60,378,0.03606714628297362,0.0
beta->alpha,population,review,54,1,10425,3381,0.8723668624773064,0.8935772384440029,0.9814998348199537,0.8787341023365868,56,410,0.03884892086330935,0.0
beta->alpha,population,review,54,2,10425,3381,0.873630064505205,0.8952761898595235,0.9871142760257714,0.8609878734102336,38,470,0.023213429256594725,0.0
beta->alpha,population,review,54,3,10425,3381,0.8698052979999945,0.8901790504029233,0.9806493932436865,0.8843537414965986,59,391,0.03175059952038369,0.0
beta->alpha,population,review,54,4,10425,3381,0.8732092866326336,0.8947171365382849,0.9837425348374254,0.8769594794439515,49,416,0.035875299760191846,0.0
beta->alpha,population,review,54,5,10425,3381,0.8703487209257149,0.8909206536652399,0.9841269841269841,0.8802129547471162,48,405,0.03290167865707434,0.0
