strategy,heldout_substation,weight_id,search_origin,weight_F1,weight_F3,weight_F4,inner_macro_precision,inner_macro_recall,inner_macro_f1,outer_training_substations,outer_training_confidence,outer_threshold
random,beta_C,weight_0201,random,0.21527970882931036,0.12576429453078386,0.6589559966399059,0.8308301426102107,0.7811829533678274,0.792319325409096,"beta_A,beta_B,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.8048068881034851
optimised,beta_C,weight_0069,grid,0.25,0.15000000000000002,0.6000000000000001,0.8306208069717859,0.7813696947310393,0.7928632851976326,"beta_A,beta_B,beta_D,beta_E,beta_F,beta_G,beta_H",sure_only,0.7703033089637756
equal,beta_D,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6295968878434964,0.6601909854851031,0.6164613046927896,"beta_A,beta_B,beta_C,beta_E,beta_F,beta_G,beta_H",sure_only,0.5998931527137756
grid,beta_D,weight_0068,grid,0.25,0.1,0.65,0.7015429371404366,0.6432006816712699,0.6552992565881983,"beta_A,beta_B,beta_C,beta_E,beta_F,beta_G,beta_H",sure_only,0.7965697050094604
random,beta_D,weight_0320,random,0.2616916309612625,0.10501957488091176,0.6332887941578257,0.7001998357973352,0.6532847152847152,0.6609528810953261,"beta_A,beta_B,beta_C,beta_E,beta_F,beta_G,beta_H",sure_only,0.7867861986160278
optimised,beta_D,weight_0320,random,0.2616916309612625,0.10501957488091176,0.6332887941578257,0.7001998357973352,0.6532847152847152,0.6609528810953261,"beta_A,beta_B,beta_C,beta_E,beta_F,beta_G,beta_H",sure_only,0.7867861986160278
equal,beta_E,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6145356386033379,0.6368055343349461,0.5885018519431259,"beta_A,beta_B,beta_C,beta_D,beta_F,beta_G,beta_H",sure_only,0.5998931527137756
grid,beta_E,weight_0068,grid,0.25,0.1,0.65,0.694818114361489,0.6592529692529692,0.6629445030107043,"beta_A,beta_B,beta_C,beta_D,beta_F,beta_G,beta_H",sure_only,0.7965697050094604
random,beta_E,weight_0320,random,0.2616916309612625,0.10501957488091176,0.6332887941578257,0.694818114361489,0.6592529692529692,0.6629445030107043,"beta_A,beta_B,beta_C,beta_D,beta_F,beta_G,beta_H",sure_only,0.7867861986160278
optimised,beta_E,weight_0068,grid,0.25,0.1,0.65,0.694818114361489,0.6592529692529692,0.6629445030107043,"beta_A,beta_B,beta_C,beta_D,beta_F,beta_G,beta_H",sure_only,0.7965697050094604
equal,beta_F,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6188052027484058,0.6244457783113245,0.5944628957924418,"beta_A,beta_B,beta_C,beta_D,beta_E,beta_G,beta_H",sure_only,0.5998931527137756
grid,beta_F,weight_0069,grid,0.25,0.15000000000000002,0.6000000000000001,0.7003687061314497,0.6471705605319051,0.6606671231507243,"beta_A,beta_B,beta_C,beta_D,beta_E,beta_G,beta_H",sure_only,0.7703033089637756
random,beta_F,weight_0201,random,0.21527970882931036,0.12576429453078386,0.6589559966399059,0.7005780417698746,0.6469838191686932,0.6601231633621876,"beta_A,beta_B,beta_C,beta_D,beta_E,beta_G,beta_H",sure_only,0.8048068881034851
optimised,beta_F,weight_0069,grid,0.25,0.15000000000000002,0.6000000000000001,0.7003687061314497,0.6471705605319051,0.6606671231507243,"beta_A,beta_B,beta_C,beta_D,beta_E,beta_G,beta_H",sure_only,0.7703033089637756
equal,beta_G,weight_0000,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6256740372387236,0.6586703772418058,0.6161946821297718,"beta_A,beta_B,beta_C,beta_D,beta_E,beta_F,beta_H",sure_only,0.5998931527137756
grid,beta_G,weight_0069,grid,0.25,0.15000000000000002,0.6000000000000001,0.6981156309883491,0.6738066695209552,0.6741248807449425,"beta_A,beta_B,beta_C,beta_D,beta_E,beta_F,beta_H",sure_only,0.7703033089637756
