anchors,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate
edge,alpha,alpha_B,1055,27,29.6104685,2561.927449,0.0,0.0,0.0,0.0,0.0,0,11,27,0.0104265402843601,0.7099526066350711,0.2796208530805687,27,0.0,0.4444444444444444
edge,alpha,alpha_C,1055,627,3752.316103,2900.367164,0.6436209841178328,0.8981986238967088,0.9779005524861878,0.2822966507177033,0.4381188118811881,177,4,450,0.171563981042654,0.4985781990521327,0.3298578199052133,627,0.2822966507177033,0.390749601275917
edge,alpha,alpha_D,1035,0,0.0,6744.646271500001,0.0,0.0,0.0,,0.0,0,49,0,0.0473429951690821,0.4908212560386473,0.4618357487922705,0,,
edge,alpha,alpha_E,1035,700,6326.578003500001,4628.9062085,0.7145184647980509,0.9863350945880374,1.0,0.3342857142857143,0.5010706638115632,234,0,466,0.2260869565217391,0.4541062801932367,0.3198067632850241,700,0.3342857142857143,0.3857142857142857
edge,alpha,alpha_F,1033,842,13356.8295205,9569.504911000002,0.6904793218943496,0.97855663935507,1.0,0.339667458432304,0.5070921985815603,286,0,556,0.2768635043562439,0.2749273959341723,0.4482090997095837,842,0.339667458432304,0.4679334916864608
edge,alpha,alpha_G,1037,650,5828.545406499999,3997.264546,0.6213096171137011,0.9419928047464288,0.9851485148514852,0.3061538461538461,0.4671361502347418,199,3,451,0.1947926711668273,0.3895853423336547,0.4156219864995178,650,0.3061538461538461,0.4523076923076923
edge,alpha,alpha_H,1039,0,0.0,31470.460395,0.0,0.0,0.0,,0.0,0,91,0,0.0875842155919153,0.5206929740134745,0.3917228103946102,0,,
edge,alpha,alpha_I,1042,148,1199.690992,10584.696097,0.0834916504769355,0.0857918600286857,0.4821428571428571,0.3648648648648648,0.4153846153846153,54,58,94,0.1074856046065259,0.4117082533589251,0.4808061420345489,148,0.3648648648648648,0.4054054054054054
edge,alpha,alpha_J,1055,387,1542.0867715000002,1315.669743,0.6145688193612012,0.8267844451751596,0.9741379310344828,0.2919896640826873,0.4493041749502981,113,3,274,0.109952606635071,0.64739336492891,0.2426540284360189,387,0.2919896640826873,0.3462532299741602
edge,beta,beta_A,337,26,754.99691,1170.0159149999995,0.4531908957819481,0.5130980526021307,0.9473684210526316,0.6923076923076923,0.7999999999999999,18,1,8,0.0563798219584569,0.8991097922848664,0.0445103857566765,26,0.6923076923076923,0.1538461538461538
edge,beta,beta_B,231,125,4769.1721835,3892.433169500001,0.8055753185459261,0.9928137187507337,1.0,0.696,0.820754716981132,87,0,38,0.3766233766233766,0.4632034632034632,0.1601731601731601,125,0.696,0.24
edge,beta,beta_C,339,0,0.0,325.660042,0.0,0.0,0.0,,0.0,0,3,0,0.0088495575221238,0.8997050147492626,0.0914454277286135,0,,
edge,beta,beta_D,188,45,475.143817,539.4963500000001,0.3476652111491185,0.4851798524679544,0.8421052631578947,0.3555555555555555,0.5,16,3,29,0.101063829787234,0.8085106382978723,0.0904255319148936,45,0.3555555555555555,0.1333333333333333
edge,beta,beta_E,306,21,87.1145895,354.78120550000006,0.0626946114849948,0.0734820055173413,0.8,0.1904761904761904,0.3076923076923077,4,1,17,0.0163398692810457,0.9281045751633988,0.0555555555555555,21,0.1904761904761904,0.2857142857142857
edge,beta,beta_F,286,164,1578.0256439999998,1506.2499839999998,0.8200892668279792,0.9226236144477862,0.9754098360655736,0.725609756097561,0.8321678321678323,119,3,45,0.4265734265734265,0.4230769230769231,0.1503496503496503,164,0.725609756097561,0.1951219512195122
edge,beta,beta_G,283,85,2201.512978,1783.3872005,0.7468755039338765,0.9553402205770736,0.9523809523809524,0.7058823529411765,0.810810810810811,60,3,25,0.2226148409893993,0.6289752650176679,0.1484098939929328,85,0.7058823529411765,0.2
edge,beta,beta_H,335,4,30.1796275,1759.0496595,0.0,0.0,0.0,0.0,0.0,0,9,4,0.026865671641791,0.8746268656716418,0.0985074626865671,4,0.0,0.5
gap_edge,alpha,alpha_A,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9980750721847932,0.0019249278152069,0,,
gap_edge,alpha,alpha_B,1055,27,29.6104685,53.899021000000005,0.502355957166528,0.5180762281377985,0.9473684210526316,0.6666666666666666,0.782608695652174,18,1,9,0.0180094786729857,0.9696682464454977,0.0123222748815165,27,0.6666666666666666,0.1481481481481481
gap_edge,alpha,alpha_C,1055,627,3752.316103,4177.232511,0.8453711114562685,0.8696079505831462,0.9653979238754326,0.8899521531100478,0.9261410788381744,558,20,69,0.547867298578199,0.4028436018957346,0.0492890995260663,627,0.8899521531100478,0.0510366826156299
gap_edge,alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,0.9971014492753624,0.0028985507246376,0,,
gap_edge,alpha,alpha_E,1035,700,6326.578003500001,6785.817029500001,0.8946390419315001,0.9124335456708028,0.989247311827957,0.92,0.9533678756476685,644,7,56,0.6289855072463768,0.336231884057971,0.0347826086956521,700,0.92,0.0285714285714285
gap_edge,alpha,alpha_F,1033,842,13356.8295205,14530.164531000002,0.8869308096649166,0.9021213014508018,0.9924050632911392,0.9311163895486936,0.9607843137254902,784,6,58,0.7647628267182962,0.1868344627299129,0.0484027105517909,842,0.9311163895486936,0.0403800475059382
