cohort,target,applies,rule,metric,point,ci_low,ci_high
alpha,0.9,both,L,day_recall,0.9139307897071872,0.8839691761912876,0.9305394984634748
alpha,0.9,day,E,energy_precision,0.8860446178641213,0.8420862842188593,0.8986354672057622
alpha,0.9,day,E,day_precision,0.9735349716446124,0.9606212273641851,0.9832093620746636
alpha,0.9,day,E,day_recall,0.9139307897071872,0.8846961212210829,0.9295777046476678
alpha,0.9,day,L,energy_precision,0.8860446178641213,0.8451675053270282,0.8986004358999331
alpha,0.9,day,L,day_precision,0.9735349716446124,0.960628827093935,0.98274965179912
alpha,0.9,day,L,day_recall,0.9139307897071872,0.8841386791746132,0.9296597250847705
alpha,0.9,energy,E,energy_precision,0.9037393842442876,0.8678897522414787,0.9162950149144795
alpha,0.9,energy,E,day_precision,0.9892241379310345,0.9819233929636879,0.9958417241460603
alpha,0.9,energy,E,day_recall,0.8145519077196096,0.7818335375749346,0.8352584713226586
alpha,0.9,energy,L,energy_precision,0.8860446178641213,0.8394659657646542,0.8984634796969372
alpha,0.9,energy,L,day_precision,0.9735349716446124,0.9607753272840959,0.9831314041870923
alpha,0.9,energy,L,day_recall,0.9139307897071872,0.8852567028825528,0.9295400159532039
alpha,0.925,both,E,energy_precision,0.9077784706137846,0.8754978142906271,0.9172472232934339
alpha,0.925,both,E,day_precision,0.9951600893521966,0.9929635784689129,0.9973334811529934
alpha,0.925,both,E,day_recall,0.7905944986690329,0.7436027808771779,0.8179370507725228
alpha,0.925,both,L,energy_precision,0.8860446178641213,0.8496185229417045,0.8987425158599647
alpha,0.925,both,L,day_precision,0.9735349716446124,0.960897067280046,0.9828103683492496
alpha,0.925,both,L,day_recall,0.9139307897071872,0.886852318916916,0.9307529717214903
alpha,0.925,day,E,energy_precision,0.8860446178641213,0.850607978051069,0.8986000760018891
alpha,0.925,day,E,day_precision,0.9735349716446124,0.9610086198457589,0.9838183306725579
alpha,0.925,day,E,day_recall,0.9139307897071872,0.8871821179136141,0.9299721093605261
alpha,0.925,day,L,energy_precision,0.8860446178641213,0.8425064703454985,0.8992081692525088
alpha,0.925,day,L,day_precision,0.9735349716446124,0.960691984761384,0.98375828652015
alpha,0.925,day,L,day_recall,0.9139307897071872,0.8855048415413592,0.9303115577710049
alpha,0.925,energy,E,energy_precision,0.9077784706137846,0.8777993870278572,0.9171158908310383
alpha,0.925,energy,E,day_precision,0.9951600893521966,0.9928441727193976,0.9972715268990243
alpha,0.925,energy,E,day_recall,0.7905944986690329,0.7479097737305566,0.819937863598103
alpha,0.925,energy,L,energy_precision,0.8860446178641213,0.8390461905154307,0.8984904868562924
alpha,0.925,energy,L,day_precision,0.9735349716446124,0.9605853327251717,0.9833023792092974
alpha,0.925,energy,L,day_recall,0.9139307897071872,0.8822275483231993,0.930834448906738
alpha,0.95,both,E,energy_precision,0.9077784706137846,0.8790740421385289,0.9176405928787934
alpha,0.95,both,E,day_precision,0.9951600893521966,0.9928730994159,0.9973801375568296
alpha,0.95,both,E,day_recall,0.7905944986690329,0.7436201958610495,0.8209832714686999
alpha,0.95,both,L,energy_precision,0.8860446178641213,0.8471190610829761,0.8996172975723111
alpha,0.95,both,L,day_precision,0.9735349716446124,0.9611443421949557,0.9829127708086534
alpha,0.95,both,L,day_recall,0.9139307897071872,0.8862172491642324,0.9295694185890173
alpha,0.95,day,E,energy_precision,0.8860446178641213,0.8408999982096863,0.8990213924808613
alpha,0.95,day,E,day_precision,0.9735349716446124,0.9606227106227107,0.9830237800716486
alpha,0.95,day,E,day_recall,0.9139307897071872,0.8854825598218902,0.9296666697907271
alpha,0.95,day,L,energy_precision,0.8860446178641213,0.8425653469133683,0.8986752345251969
alpha,0.95,day,L,day_precision,0.9735349716446124,0.9605624536693848,0.9831357080707842
alpha,0.95,day,L,day_recall,0.9139307897071872,0.8818269145750062,0.9289390241145445
alpha,0.95,energy,E,energy_precision,0.9077784706137846,0.8711996220652206,0.9171448486817769
alpha,0.95,energy,E,day_precision,0.9951600893521966,0.992779652970514,0.9973108133629018
alpha,0.95,energy,E,day_recall,0.7905944986690329,0.741739191366283,0.8203201568114995
alpha,0.95,energy,L,energy_precision,0.8860446178641213,0.8448351562365931,0.8991705841344034
alpha,0.95,energy,L,day_precision,0.9735349716446124,0.9606227106227107,0.9840729758439363
alpha,0.95,energy,L,day_recall,0.9139307897071872,0.8832296989304473,0.9294723325778649
alpha,0.975,both,E,energy_precision,0.9077784706137846,0.8757679189484816,0.9173709083649094
alpha,0.975,both,E,day_precision,0.9951600893521966,0.9928478543563068,0.9971766642353029
alpha,0.975,both,E,day_recall,0.7905944986690329,0.7456415743910947,0.820072067604897
alpha,0.975,both,L,energy_precision,0.8860446178641213,0.8458390660950783,0.8993175908362006
alpha,0.975,both,L,day_precision,0.9735349716446124,0.9611075700346239,0.9836438221746874
alpha,0.975,both,L,day_recall,0.9139307897071872,0.8877141499605892,0.9296764334695214
alpha,0.975,day,E,energy_precision,0.8878490859457,0.849851050479173,0.9012762031113992
alpha,0.975,day,E,day_precision,0.9755400254129606,0.9608695652173913,0.987516832009432
alpha,0.975,day,E,day_recall,0.9083111505471754,0.8844903724598172,0.9208881163782627
alpha,0.975,day,L,energy_precision,0.8860446178641213,0.8491861915523108,0.8991249785101711
alpha,0.975,day,L,day_precision,0.9735349716446124,0.9613071392426416,0.9832881976040642
alpha,0.975,day,L,day_recall,0.9139307897071872,0.888246406224158,0.9299059931070716
alpha,0.975,energy,E,energy_precision,0.9077784706137846,0.8781918227151438,0.9166259359576789
alpha,0.975,energy,E,day_precision,0.9951600893521966,0.9927910988646591,0.9973703432046698
alpha,0.975,energy,E,day_recall,0.7905944986690329,0.7463961775101863,0.82130949842327
alpha,0.975,energy,L,energy_precision,0.8860446178641213,0.8451859200587798,0.8977853605160561
alpha,0.975,energy,L,day_precision,0.9735349716446124,0.9612095303041385,0.9830981580418959
