regime,variant,heldout_site,dataset,substation_id,date,confidence,true_day,score,pred_day,threshold,confidence_score,v03_selected_left_slot,v03_selected_right_slot,v03_selected_duration_h,F1_bridge_improvement,F2_roughness_improvement,F3_slope_continuity_improvement,F4_duration_plausibility,F5_n_height_ratio,F6_solar_strength_ratio,F7_solar_peak_alignment,F8_site_centered_core_score,F9_site_rank_core_score,true_start_slot,true_end_slot,true_start_time,true_end_time,pred_start_slot,pred_end_slot,pred_start_time,pred_end_time,day_group,weighted_F1_bridge_improvement,weighted_F2_roughness_improvement,weighted_F3_slope_continuity_improvement,weighted_F4_duration_plausibility,weighted_F5_n_height_ratio,weighted_F6_solar_strength_ratio,weighted_F7_solar_peak_alignment,weighted_F8_site_centered_core_score,weighted_F9_site_rank_core_score,recomputed_score,iou,iou_with_fp_fn_zero,start_error_minutes,end_error_minutes
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,beta,beta_E,2024-04-12,sure,False,4.295610710465403,True,3.6775555499703607,0.6180551604950422,45,50,1.5,0.480459735948167,-0.0047995579807364,0.6052203933485617,1.0,0.0,1.0,0.9642857142857144,0.5056884077081295,0.8087431693989071,,,,,45.0,50.0,11:15,12:30,FP_day,0.480459735948167,-0.0071993369711046,0.6052203933485617,1.0,0.0,1.0,0.9642857142857144,0.25284420385406475,0.0,4.295610710465403,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,beta,beta_E,2024-08-20,sure,False,3.685057810204529,True,3.6775555499703607,0.007502260234168112,45,55,2.75,0.7692423174913038,0.0038754478246124,-0.005000396711537,1.0,0.0,1.0,0.7142857142857143,0.4014340068042584,0.6557377049180328,,,,,45.0,55.0,11:15,13:45,FP_day,0.7692423174913038,0.0058131717369186,-0.005000396711537,1.0,0.0,1.0,0.7142857142857143,0.2007170034021292,0.0,3.6850578102045293,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,beta,beta_E,2024-09-24,sure,False,4.4670186060359125,True,3.6775555499703607,0.7894630560655518,45,48,1.0,0.8722567558947272,0.0724852429776486,0.5018570734497904,0.6666666666666666,0.0394272439174474,1.0,0.9642857142857144,0.6275945747101873,0.9617486338797814,,,,,45.0,48.0,11:15,12:00,FP_day,0.8722567558947272,0.10872786446647291,0.5018570734497904,0.6666666666666666,0.0394272439174474,1.0,0.9642857142857144,0.31379728735509366,0.0,4.4670186060359125,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2023-12-24,sure,False,4.848080755838417,True,3.690327091222695,1.157753664615722,53,59,1.75,0.9481335856469278,0.1220408429028178,0.4870085306204186,1.0,0.2572866968132054,1.0,0.9285714285714286,0.0880384996644196,0.2349726775956284,,,,,53.0,59.0,13:15,14:45,FP_day,0.9481335856469278,0.1830612643542267,0.4870085306204186,1.0,0.2572866968132054,1.0,0.9285714285714286,0.0440192498322098,0.0,4.848080755838417,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2023-12-25,sure,False,4.547241999724453,True,3.690327091222695,0.856914908501758,40,53,3.5,0.8565883132922553,0.0164456129855772,0.664474024233653,1.0,0.1393425895691776,1.0,0.8214285714285714,0.08148016344486,0.2076502732240437,,,,,40.0,53.0,10:00,13:15,FP_day,0.8565883132922553,0.024668419478365802,0.664474024233653,1.0,0.1393425895691776,1.0,0.8214285714285714,0.04074008172243,0.0,4.547241999724453,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2023-12-26,sure,False,3.9820249223952966,True,3.690327091222695,0.2916978311726015,36,55,5.0,0.588542660704949,-0.1212553495168337,0.5963618921974929,1.0,0.481525484185702,1.0,0.5357142857142857,-0.0764727522637657,-0.1420765027322404,,,,,36.0,55.0,09:00,13:45,FP_day,0.588542660704949,-0.18188302427525055,0.5963618921974929,1.0,0.481525484185702,1.0,0.5357142857142857,-0.03823637613188285,-0.0,3.9820249223952966,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2024-01-09,sure,False,4.872368739895668,True,3.690327091222695,1.182041648672973,57,62,1.5,0.9101967169628852,0.0550887179031949,0.6176517521644034,1.0,0.2492898584856104,1.0,0.9642857142857144,0.0966232422845259,0.2896174863387979,,,,,57.0,62.0,14:15,15:30,FP_day,0.9101967169628852,0.08263307685479235,0.6176517521644034,1.0,0.2492898584856104,1.0,0.9642857142857144,0.04831162114226295,0.0,4.872368739895668,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2024-01-13,sure,True,3.530946766759134,False,3.690327091222695,0.15938032446356099,38,54,4.25,0.4395598748046015,-0.0036066511300087,0.4812245014441721,1.0,0.0353635135245876,1.0,0.6428571428571428,-0.1252965783527135,-0.2786885245901639,39.0,52.0,09:45,13:00,38.0,54.0,09:30,13:30,FN_day,0.4395598748046015,-0.00540997669501305,0.4812245014441721,1.0,0.0353635135245876,1.0,0.6428571428571428,-0.06264828917635674,-0.0,3.530946766759134,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2024-01-17,sure,False,4.164145318013905,True,3.690327091222695,0.47381822679121033,38,50,3.25,0.8654310157049685,-0.0608411996201693,0.5399791631785017,1.0,0.0556990663320042,1.0,0.7857142857142857,0.0171671730287984,0.0437158469945355,,,,,38.0,50.0,09:30,12:30,FP_day,0.8654310157049685,-0.09126179943025395,0.5399791631785017,1.0,0.0556990663320042,1.0,0.7857142857142857,0.0085835865143992,0.0,4.164145318013905,0.0,0.0,,
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_F,beta,beta_F,2024-01-18,sure,False,4.610768647790031,True,3.690327091222695,0.9204415565673356,40,58,4.75,0.7372125619831388,-0.0671863618365549,0.8798854709867703,1.0,0.1944999319393562,1.0,0.8571428571428572,0.0856147369854828,0.2295081967213115,,,,,40.0,58.0,10:00,14:30,FP_day,0.7372125619831388,-0.10077954275483234,0.8798854709867703,1.0,0.1944999319393562,1.0,0.8571428571428572,0.0428073684927414,0.0,4.610768647790031,0.0,0.0,,
