regime,confidence_scope,aggregation,substation_id,support,positive_support,tp,fp,fn,tn,precision,recall,f1
beta_plus_alpha,beta_sure,substation,beta_A,337,26,26,30,0,281,0.4642857142857143,1.0,0.6341463414634146
beta_plus_alpha,beta_sure,substation,beta_B,231,125,108,3,17,103,0.972972972972973,0.864,0.9152542372881355
beta_plus_alpha,beta_sure,substation,beta_C,339,0,0,0,0,339,0.0,0.0,0.0
beta_plus_alpha,beta_sure,substation,beta_D,188,45,44,39,1,104,0.5301204819277109,0.9777777777777777,0.6875000000000001
beta_plus_alpha,beta_sure,substation,beta_E,308,21,21,10,0,277,0.6774193548387096,1.0,0.8076923076923077
beta_plus_alpha,beta_sure,substation,beta_F,287,165,161,21,4,101,0.8846153846153846,0.9757575757575757,0.9279538904899136
beta_plus_alpha,beta_sure,substation,beta_G,283,85,73,21,12,177,0.776595744680851,0.8588235294117647,0.8156424581005587
beta_plus_alpha,beta_sure,substation,beta_H,337,4,1,3,3,330,0.25,0.25,0.25
beta_plus_alpha,beta_sure,macro_substation,,2310,471,434,127,37,1712,0.5695012066651679,0.7407948603683898,0.6297736543792913
beta_plus_alpha,beta_all,pooled,,2928,630,546,324,84,1974,0.6275862068965518,0.8666666666666667,0.7280000000000001
beta_plus_alpha,beta_all,substation,beta_A,366,29,29,41,0,296,0.4142857142857143,1.0,0.5858585858585859
beta_plus_alpha,beta_all,substation,beta_B,366,152,123,31,29,183,0.7987012987012987,0.8092105263157895,0.803921568627451
beta_plus_alpha,beta_all,substation,beta_C,366,13,1,1,12,352,0.5,0.07692307692307693,0.13333333333333336
beta_plus_alpha,beta_all,substation,beta_D,366,76,73,126,3,164,0.36683417085427134,0.9605263157894737,0.5309090909090909
beta_plus_alpha,beta_all,substation,beta_E,366,44,42,25,2,297,0.6268656716417911,0.9545454545454546,0.7567567567567568
beta_plus_alpha,beta_all,substation,beta_F,366,184,178,61,6,121,0.7447698744769874,0.967391304347826,0.8416075650118203
beta_plus_alpha,beta_all,substation,beta_G,366,117,94,32,23,217,0.746031746031746,0.8034188034188035,0.7736625514403291
beta_plus_alpha,beta_all,substation,beta_H,366,15,6,7,9,344,0.46153846153846156,0.4,0.42857142857142855
beta_plus_alpha,beta_all,macro_substation,,2928,630,546,324,84,1974,0.5823783671912839,0.746501935167553,0.6068276100635995
alpha_only,beta_sure,pooled,,2310,471,460,227,11,1612,0.6695778748180495,0.9766454352441614,0.7944732297063903
alpha_only,beta_sure,substation,beta_A,337,26,26,49,0,262,0.3466666666666667,1.0,0.5148514851485149
alpha_only,beta_sure,substation,beta_B,231,125,121,6,4,100,0.952755905511811,0.968,0.9603174603174602
alpha_only,beta_sure,substation,beta_C,339,0,0,8,0,331,0.0,0.0,0.0
alpha_only,beta_sure,substation,beta_D,188,45,45,55,0,88,0.45,1.0,0.6206896551724138
alpha_only,beta_sure,substation,beta_E,308,21,21,19,0,268,0.525,1.0,0.6885245901639345
alpha_only,beta_sure,substation,beta_F,287,165,164,39,1,83,0.8078817733990148,0.9939393939393939,0.8913043478260869
alpha_only,beta_sure,substation,beta_G,283,85,80,39,5,159,0.6722689075630253,0.9411764705882353,0.7843137254901961
alpha_only,beta_sure,substation,beta_H,337,4,3,12,1,321,0.2,0.75,0.31578947368421056
alpha_only,beta_sure,macro_substation,,2310,471,460,227,11,1612,0.4943216566425648,0.8316394830659537,0.5969738422253521
alpha_only,beta_all,pooled,,2928,630,589,506,41,1792,0.5378995433789955,0.9349206349206349,0.6828985507246378
alpha_only,beta_all,substation,beta_A,366,29,29,63,0,274,0.31521739130434784,1.0,0.4793388429752066
