confidence_scope,interval_scope,aggregation,substation_id,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou
beta_sure,daytime_06_18,substation,beta_B,4769.1721835,3715.7874265,3496.131301,4988.828309,0.9408857126935003,0.7330687940132745,0.8240772995264736,0.7007920666848508
beta_sure,daytime_06_18,substation,beta_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
beta_sure,daytime_06_18,substation,beta_D,475.14381699999996,451.2651155,437.778601,488.6303315,0.9701139883479427,0.9213601973484168,0.9451087649135983,0.8959300575060596
beta_sure,daytime_06_18,substation,beta_E,87.1145895,98.7414315,84.4090665,101.4469545,0.8548495319312845,0.9689429403785459,0.9083274896969843,0.8320512618247203
beta_sure,daytime_06_18,substation,beta_F,1582.522433,1615.16553,1504.7853635000001,1692.9025995,0.9316601521950509,0.9508777456300362,0.9411708590154267,0.8888788781731681
beta_sure,daytime_06_18,substation,beta_G,2201.5129779999997,1898.5585005,1799.8271559999998,2300.2443224999997,0.947996680389886,0.8175410156496474,0.8779491603685221,0.7824504285892004
beta_sure,daytime_06_18,substation,beta_H,30.179627500000002,51.479425,5.1928405,76.466212,0.1008721542635723,0.17206443320084053,0.12718346199277783,0.06791026211681572
beta_all,full_day,pooled,,11464.1834845,9804.0133975,8702.693117,12565.503765000001,0.8876663835668733,0.7591201875621028,0.8183762041779278,0.6925860896433387
beta_all,full_day,substation,beta_A,776.0623045,879.5281,762.259264,893.3311405,0.8666684600526123,0.9822140047004435,0.9208307343750374,0.8532773900318323
beta_all,full_day,substation,beta_B,5338.440068,4100.9618175000005,3655.1493925,5784.252493,0.8912907642549636,0.6846849165564145,0.7744451262562995,0.6319138725225769
beta_all,full_day,substation,beta_C,88.23298199999999,0.0,0.0,88.23298199999999,0.0,0.0,0.0,0.0
beta_all,full_day,substation,beta_D,613.2111345,567.273432,518.895709,661.5888575000001,0.9147188634774632,0.8461942058881516,0.8791232409559843,0.7843174852744552
beta_all,full_day,substation,beta_E,147.81065700000002,177.02972649999998,134.38712650000002,190.453257,0.7591218105395425,0.9091842850005057,0.8274040625863257,0.7056173709856798
beta_all,full_day,substation,beta_F,1674.4635979999998,1756.600662,1563.2212390000002,1867.8430210000001,0.8899127006021816,0.9335653763193963,0.9112165325635727,0.8369125357028598
beta_all,full_day,substation,beta_G,2727.614458,2225.428025,2044.2536625000002,2908.7888205,0.9185889813264125,0.7494657672400417,0.8254537163839626,0.7027851757724398
beta_all,full_day,substation,beta_H,98.3482825,97.1916345,24.5267235,171.0131935,0.2523542651193915,0.24938639370748544,0.2508615517106924,0.1434200660079481
beta_all,daytime_06_18,pooled,,11464.183484500001,9804.013397499999,8702.693116999999,12565.503765000001,0.8876663835668733,0.7591201875621025,0.8183762041779278,0.6925860896433386
beta_all,daytime_06_18,substation,beta_A,776.0623045,879.5281,762.2592639999999,893.3311405000001,0.8666684600526122,0.9822140047004434,0.920830734375037,0.853277390031832
beta_all,daytime_06_18,substation,beta_B,5338.440068,4100.9618175,3655.1493924999995,5784.252493,0.8912907642549637,0.6846849165564145,0.7744451262562996,0.6319138725225769
beta_all,daytime_06_18,substation,beta_C,88.23298199999999,0.0,0.0,88.23298199999999,0.0,0.0,0.0,0.0
beta_all,daytime_06_18,substation,beta_D,613.2111345,567.273432,518.895709,661.5888575000001,0.9147188634774632,0.8461942058881516,0.8791232409559843,0.7843174852744552
beta_all,daytime_06_18,substation,beta_E,147.810657,177.02972649999998,134.38712650000002,190.453257,0.7591218105395425,0.909184285000506,0.8274040625863257,0.7056173709856798
beta_all,daytime_06_18,substation,beta_F,1674.463598,1756.600662,1563.2212390000002,1867.843021,0.8899127006021816,0.9335653763193962,0.9112165325635727,0.83691253570286
beta_all,daytime_06_18,substation,beta_G,2727.614458,2225.428025,2044.2536625,2908.7888205,0.9185889813264124,0.7494657672400415,0.8254537163839627,0.7027851757724397
beta_all,daytime_06_18,substation,beta_H,98.3482825,97.19163449999999,24.5267235,171.0131935,0.2523542651193915,0.24938639370748544,0.2508615517106924,0.1434200660079481
