fold_id,cohort,held_out,candidate,n_train,intercept,coef_0,coef_1,null_n,null_max_r
beta_beta_F,beta,beta_F,B3,12397,-6.010900755943171,2.9137926889690355,5.740969731641169,,
beta_beta_F,beta,beta_F,C1,12397,0.1358066744947875,4.088556481318252,,,
beta_beta_F,beta,beta_F,C2,12397,-0.7406071368549533,2.6022816931802537,-0.665223133665242,,
beta_beta_F,beta,beta_F,C3,12397,0.06788539751399142,4.057080855173609,-2.8511378316676845,,
beta_beta_F,beta,beta_F,C4,12397,-4.276015008913031,0.6163591197901334,,8719.0,0.0
beta_beta_F,beta,beta_F,D1,12397,-3.535361632325707,0.5448674103759966,,,
beta_beta_G,beta,beta_G,R0,2006,-4.9167393454053965,2.3526707270182476,,,
beta_beta_G,beta,beta_G,B1,12399,-1.1867756558665095,2.1407078965819264,,,
beta_beta_G,beta,beta_G,B2,12399,-1.291358706934277,0.6078569297278524,,,
beta_beta_G,beta,beta_G,B3,12399,-6.135102961504494,2.983620050382102,5.899155014231957,,
beta_beta_G,beta,beta_G,C1,12399,0.11352281021415032,4.037489111732085,,,
beta_beta_G,beta,beta_G,C2,12399,-0.8280162455854039,2.514461237335426,-0.5621823773286824,,
beta_beta_G,beta,beta_G,C3,12399,-0.027569035513007177,3.909878054204595,-2.657428622844646,,
beta_beta_G,beta,beta_G,C4,12399,-4.276793087793991,0.6151792559972312,,8632.0,0.0
beta_beta_G,beta,beta_G,D1,12399,-3.633988763101518,0.5692651512892432,,,
beta_beta_H,beta,beta_H,R0,1955,-4.738646566664802,2.213133341550952,,,
beta_beta_H,beta,beta_H,B1,12348,-1.241592633296165,2.028550987222075,,,
beta_beta_H,beta,beta_H,B2,12348,-1.246677379071819,0.6116833714357988,,,
beta_beta_H,beta,beta_H,B3,12348,-6.2384429647242685,2.9191037340278467,5.970940841453495,,
beta_beta_H,beta,beta_H,C1,12348,0.0694603872487203,3.9682647763794336,,,
beta_beta_H,beta,beta_H,C2,12348,-0.7903273381719083,2.4949255067486296,-0.6869928364224289,,
beta_beta_H,beta,beta_H,C3,12348,-0.029347776589186823,3.8857850517627677,-2.7052113062492427,,
beta_beta_H,beta,beta_H,C4,12348,-4.234337320937881,0.602920480150995,,8473.0,0.0
beta_beta_H,beta,beta_H,D1,12348,-3.5009406374402796,0.5328933053723651,,,
