candidate,cohort,station,n_days,n_rpf,energy_iou,energy_precision,sure_day_recall,fp,fn,rate_uncertain
B3,beta,beta_B,231,125,0.8971492552933117,0.9473625339916307,0.88,0,15,0.03463203463203463
B3,beta,beta_C,339,0,0.0,,,0,0,0.0058997050147492625
B3,beta,beta_D,188,45,0.8694251109879493,0.9246308942232685,0.7777777777777778,3,10,0.1276595744680851
B3,beta,beta_E,306,21,0.8812186686888644,0.8929435776433023,1.0,2,0,0.026143790849673203
B3,beta,beta_F,286,164,0.9288564835286885,0.9483938732643954,0.9573170731707317,10,7,0.04895104895104895
B3,beta,beta_G,283,85,0.8450725342239531,0.8747585329348552,0.8941176470588236,13,9,0.038869257950530034
B3,beta,beta_H,335,4,0.17344536429581756,0.8178171899595065,0.25,0,3,0.005970149253731343
C1,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
C1,alpha,alpha_B,1055,27,0.5360440499114615,0.5539810664058573,0.6296296296296297,0,10,0.014218009478672985
C1,alpha,alpha_C,1055,627,0.8635835222484382,0.8925146334726906,0.8548644338118022,12,91,0.07298578199052133
C1,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
C1,alpha,alpha_E,1035,700,0.9064787681082573,0.9279113911086829,0.8857142857142857,6,80,0.057971014492753624
C1,alpha,alpha_F,1033,842,0.8958609242406395,0.9141368947282461,0.8978622327790974,6,86,0.07841239109390126
C1,alpha,alpha_G,1037,650,0.8756927808850399,0.9073346901407923,0.8953846153846153,16,68,0.06171648987463838
C1,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
C1,alpha,alpha_I,1042,148,0.7921943773935799,0.8086081130929026,0.8243243243243243,4,26,0.026871401151631478
C1,alpha,alpha_J,1055,387,0.8246475459238214,0.8572028804527572,0.813953488372093,8,72,0.05781990521327014
C1,beta,beta_A,337,26,0.9244327736320623,0.933677479694023,1.0,47,0,0.08011869436201781
C1,beta,beta_B,231,125,0.9186718160277486,0.9400387565522552,0.96,5,5,0.03463203463203463
C1,beta,beta_C,339,0,0.0,,,0,0,0.011799410029498525
C1,beta,beta_D,188,45,0.7826699074465632,0.7866297404765602,0.9777777777777777,49,1,0.14361702127659576
C1,beta,beta_E,306,21,0.7338426634425631,0.7419556862369715,1.0,24,0,0.026143790849673203
C1,beta,beta_F,286,164,0.9169288252337312,0.9283662139510253,1.0,35,0,0.045454545454545456
C1,beta,beta_G,283,85,0.8207798179270742,0.8321337281578356,0.9529411764705882,23,4,0.0812720848056537
C1,beta,beta_H,335,4,0.35702503561446386,0.6545619651585455,0.5,1,2,0.03283582089552239
C2,alpha,alpha_A,1039,0,0.0,,,0,0,0.0019249278152069298
C2,alpha,alpha_B,1055,27,0.5319675982833838,0.5520941028346895,0.5925925925925926,0,11,0.007582938388625593
C2,alpha,alpha_C,1055,627,0.8568511534157285,0.8868151320103236,0.8149920255183413,9,116,0.054976303317535544
C2,alpha,alpha_D,1035,0,0.0,,,0,0,0.002898550724637681
C2,alpha,alpha_E,1035,700,0.9014323582367619,0.9223327270146118,0.8642857142857143,4,95,0.044444444444444446
C2,alpha,alpha_F,1033,842,0.8950738662444947,0.913206046231684,0.8812351543942993,1,100,0.05227492739593417
C2,alpha,alpha_G,1037,650,0.8791771838189543,0.9123654914442975,0.8646153846153846,10,88,0.048216007714561235
C2,alpha,alpha_H,1039,0,0.0,,,0,0,0.0019249278152069298
C2,alpha,alpha_I,1042,148,0.7894342199431715,0.805626116042467,0.8040540540540541,3,29,0.015355086372360844
