model_family,model_variant,regime,dataset,subset,summary_scope,substation_id,prediction_source,notes,day_support,day_positive_support,day_tp,day_fp,day_fn,day_tn,day_precision,day_recall,day_f1,interval_support,interval_positive_support,interval_tp,interval_fp,interval_fn,interval_tn,interval_precision,interval_recall,interval_f1,manual_correction_MWh,predicted_correction_MWh,overlap_correction_MWh,union_correction_MWh,energy_precision,energy_recall,energy_f1,energy_iou,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_E,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,44,39,13,5,309,0.75,0.8863636363636364,0.8125000000000001,35040,553,473,207,80,34280,0.6955882352941176,0.8553345388788427,0.7672343876723439,147.81065700000002,166.86773,132.3745155,182.30387149999999,0.7932900837088154,0.8955681422889554,0.8413321090272398,0.7261201553802439,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_F,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,185,175,47,10,134,0.7882882882882883,0.9459459459459459,0.8599508599508601,35040,3993,3487,655,506,30392,0.8418638338966683,0.8732782369146006,0.8572833435771358,1676.802064,1735.684339,1582.5403430000001,1829.94606,0.9117673688936824,0.9437848252791751,0.9274998673159549,0.864801634098439,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_G,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,117,102,28,15,221,0.7846153846153846,0.8717948717948718,0.8259109311740892,35136,2717,2289,582,428,31837,0.7972831765935214,0.8424733161575266,0.8192555476020043,2727.614458,2901.0137390000004,2435.5548525,3193.0733445,0.8395530223650552,0.8929248946296646,0.8654168537186822,0.7627619505499899,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p0,R1_beta_loso,beta,beta_all,site,beta_H,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,15,3,1,12,350,0.75,0.2,0.31578947368421056,35040,207,45,21,162,34812,0.6818181818181818,0.21739130434782608,0.32967032967032966,98.3482825,35.2148205,23.0019845,110.56111849999999,0.65319045144643,0.23388293028909782,0.3444362100512145,0.20804768269416524,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_A,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,30,28,18,2,318,0.6086956521739131,0.9333333333333333,0.7368421052631579,35136,494,457,160,37,34482,0.7406807131280388,0.9251012145748988,0.8226822682268228,783.9919125000001,812.3354605,763.991873,832.3355000000001,0.9404881482457457,0.9744894823771539,0.9571869604218082,0.9178893282816845,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_B,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,153,125,20,28,193,0.8620689655172413,0.8169934640522876,0.8389261744966443,35136,3233,2669,413,564,31490,0.8659961064243997,0.8255490256727498,0.8452889944576406,5345.8698565,5209.743361,4756.662885000001,5798.9503325,0.9130320930217508,0.8897827692562348,0.9012575180594904,0.8202627393343002,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_C,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,13,0,0,13,353,0.0,0.0,0.0,35136,168,0,0,168,34968,0.0,0.0,0.0,88.23298199999999,0.0,0.0,88.23298199999999,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_D,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,77,59,23,18,266,0.7195121951219512,0.7662337662337663,0.7421383647798743,35136,848,649,728,199,33560,0.4713144517066086,0.7653301886792453,0.5833707865168539,613.355565,612.375772,534.4007485,691.3305885,0.8726680135542658,0.8712739868920892,0.8719704430629238,0.7730031874613053,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_E,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,44,40,15,4,307,0.7272727272727273,0.9090909090909091,0.8080808080808082,35040,553,475,228,78,34259,0.6756756756756757,0.8589511754068716,0.7563694267515922,147.81065700000002,172.460284,132.91067850000002,187.36026249999998,0.7706741251800329,0.8991955059099697,0.8299889967226218,0.7093856334664349,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
small_grid_physical_score,G_b1p0_r2p0_sc0p5,R1_beta_loso,beta,beta_all,site,beta_F,C14_small_weight_grid,Top-10 day-F1 grid candidate expanded to selected v0.3 candidate window.,366,185,173,35,12,146,0.8317307692307693,0.9351351351351351,0.8804071246819338,35040,3993,3457,533,536,30514,0.8664160401002506,0.8657650889055848,0.8660904421896529,1676.802064,1686.8032425000001,1570.662628,1792.9426784999998,0.9311475034113232,0.9367012730490055,0.9339161315774906,0.8760250100767514,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0
