dataset,substation_id,date,v03_candidate_count,v03_selected_left_slot,v03_selected_right_slot,v03_selected_duration_h,selected_start_time,selected_end_time,M0_all_equal_score,n_missing_net,n_missing_solar,F5_n_height_ratio,F7_solar_peak_alignment,F6_solar_strength_ratio,F1_bridge_improvement,F2_roughness_improvement,F3_slope_continuity_improvement,F4_duration_plausibility,F8_site_centered_core_score,F9_site_rank_core_score,true_day,confidence,month,month_sin,month_cos,is_weekend,season,season_autumn,season_spring,season_summer,season_winter
beta,beta_G,2023-11-05,815,45,46,0.5,11:15,11:30,4.620727489235577,0,0,0.0,0.9642857142857144,0.7228717990999289,0.7201102074507001,0.0568505169731243,0.6812809222160524,0.3333333333333333,0.4480059248384714,0.6939890710382515,False,unsure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
beta,beta_G,2023-11-06,791,43,54,3.0,10:45,13:30,4.86925594727603,0,0,0.1410065368597309,0.75,0.8702364050797993,0.5605922430867434,0.0754911579985215,0.5636462553744553,1.0,0.3618352614450859,0.5464480874316939,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-07,701,35,66,8.0,08:45,16:30,5.656231517958815,0,0,0.2889086282154383,0.6071428571428572,1.0,0.7407030824344272,0.1338429482521819,0.6708662732703056,1.0,0.4770628106108173,0.7377049180327868,True,unsure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-08,751,36,61,6.5,09:00,15:15,4.912878953822111,0,0,0.170836611797694,0.6071428571428572,1.0,0.5244154347295332,0.0273542281428329,0.6599281319346731,1.0,0.3658246408941922,0.5573770491803278,True,unsure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-09,805,49,57,2.25,12:15,14:15,4.681302299064558,0,0,0.1894108542768459,0.8571428571428572,1.0,0.4759298147006149,0.0385744677330442,0.4491295197737199,1.0,0.2831366433609721,0.3879781420765027,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-10,805,36,58,5.75,09:00,14:30,4.579058864558234,0,0,0.1818685161219172,0.7142857142857143,1.0,0.7081783368870075,-0.027620744575251,0.3027998021519826,1.0,0.2897111741130921,0.4098360655737705,True,unsure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-11,805,37,56,5.0,09:15,14:00,5.804126128988659,0,0,0.1714419086609898,0.6785714285714286,1.0,0.8547650691162344,0.135519475856353,0.6472986398265284,1.0,0.5077864375582177,0.8087431693989071,True,unsure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
beta,beta_G,2023-11-12,815,40,43,1.0,10:00,10:45,1.0544464561683635,0,0,0.0,0.3928571428571429,1.0,-0.9843060164421986,-0.0840914234965084,0.6997027700024185,0.6666666666666666,-0.1609728473535837,-0.4754098360655737,False,sure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
beta,beta_G,2023-11-13,773,40,63,6.0,10:00,15:45,5.9903677362759815,0,0,0.1180842343234075,0.8928571428571429,1.0,0.6942085089491657,0.0359408906590872,0.9223206000395175,1.0,0.5127487091744359,0.8142076502732241,True,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-14,815,41,60,5.0,10:15,15:00,4.190369151682292,0,0,0.0659536214507261,0.9642857142857144,1.0,0.4214409590587387,-0.0148245202880947,0.2953155797444505,1.0,0.1959027154635439,0.2622950819672132,True,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-15,791,37,58,5.5,09:15,14:30,3.930242384676773,0,0,0.0,0.6785714285714286,1.0,0.8044167310017394,-0.0008178941051706,-0.0453060452290675,1.0,0.2146896398476795,0.278688524590164,True,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-16,805,40,59,5.0,10:00,14:45,3.882201857767579,0,0,0.0,0.8928571428571429,1.0,0.7734726678886,-0.0968974405366961,-0.0658467887117317,1.0,0.1655015221719032,0.2131147540983606,True,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-17,550,54,67,3.5,13:30,16:45,4.634339404975442,0,0,0.3078937438446699,0.9642857142857144,0.84093439621083,0.244831980065641,0.0528121308653365,0.6054375774528591,1.0,0.2629526054197913,0.355191256830601,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-18,701,35,66,8.0,08:45,16:30,6.277381322143967,0,0,0.3766601731580357,0.6071428571428572,1.0,0.9809960625411744,0.2890421961224098,0.5565702807088528,1.0,0.5707948890826582,0.8961748633879782,True,sure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
beta,beta_G,2023-11-19,805,35,60,6.5,08:45,15:00,5.868346840208472,0,0,0.2985800264111752,0.75,1.0,0.8738532089761666,0.1573998894178397,0.5424558488375406,1.0,0.4864950250356947,0.7595628415300546,True,sure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
beta,beta_G,2023-11-20,727,46,49,1.0,11:30,12:15,-0.0667432075425693,0,0,0.0023583634496906,0.4642857142857143,0.3452889240280485,-0.9869655841324096,-0.2600578409170841,0.7026378098715841,0.6666666666666666,-0.2195364957674574,-0.7814207650273224,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-21,550,55,64,2.5,13:45,16:00,3.649878703039234,0,0,0.0933242465818143,0.8928571428571429,1.0,0.2856848941288951,-0.0445149408502288,0.1786016229034766,1.0,0.1018492346858934,0.1420765027322403,True,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-22,550,53,67,3.75,13:15,16:45,3.019431435252228,0,0,0.1032690422569521,0.9285714285714286,0.8274210006457235,-0.5513497364582598,-0.1287532376753652,0.8205896936868581,1.0,0.0087542824762568,0.0109289617486338,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-23,612,36,40,1.25,09:00,10:00,1.9017157214928164,0,0,0.047194671746763,0.9285714285714286,0.717074224217373,-0.5231724396421796,-0.0821568173579349,0.3499680022573658,0.8333333333333334,-0.1231950422890704,-0.2459016393442623,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-24,821,55,56,0.5,13:45,14:00,0.6084741319405647,0,0,0.0,0.3928571428571429,0.515452788066107,-0.872069615211775,-0.135133145599203,0.749406469769014,0.3333333333333333,-0.1240067210554755,-0.2513661202185792,False,sure,11,-0.5000000000000004,0.8660254037844384,0,spring,0,1,0,0
beta,beta_G,2023-11-25,550,49,50,0.5,12:15,12:30,0.2446774732917372,0,0,0.0,0.1785714285714286,0.4360730713745365,-0.9903905652002688,-0.21958000870456,0.928264386699372,0.3333333333333333,-0.1319766864433064,-0.2896174863387978,False,sure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
beta,beta_G,2023-11-26,815,36,56,5.25,09:00,14:00,4.929725686238416,0,0,0.1525465503410568,0.7142857142857143,1.0,0.861901390996198,0.011710082771654,0.3086719375211778,1.0,0.356019846388189,0.5245901639344261,True,sure,11,-0.5000000000000004,0.8660254037844384,1,spring,0,1,0,0
