method,cohort,station,n_days,n_rpf,required_mwh,applied_mwh,energy_iou,energy_precision,day_precision,day_recall,day_f1,tp,fp,fn,rate_auto_correct,rate_auto_keep,rate_uncertain,sure_rpf_days,sure_day_recall,sure_day_uncertain_rate,n_stations,interval_precision,interval_recall,interval_f1,slot_tp,slot_fp,slot_fn,window_iou_mean,start_error_mae,end_error_mae,false_mwh,min_change_days,min_change_mean_mw,min_change_total_mw,reference_min_change_days,reference_min_change_mean_mw
m8,alpha,alpha_C,1055,627,3752.316103,3557.9370799999997,0.8609378511117759,0.9505480768648107,0.9664694280078896,0.7814992025518341,0.8641975308641975,490,17,137,0.48056872037914694,0.5194312796208531,0.0,627,0.7814992025518341,0.0,1,0.9042442293373045,0.7665698775407146,0.829734900245969,6072,643,1849,0.5226957961083183,1.9673469387755103,1.8959183673469389,175.946831,507,-1.3485169428007888,-683.69809,627,-1.1823009138755982
m8,alpha,alpha_D,1035,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,1.0,0.0,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
m8,alpha,alpha_E,1035,700,6326.578003500001,5696.26182,0.8627318709380641,0.9775581820956397,0.9941520467836257,0.7285714285714285,0.8408903544929925,510,3,190,0.4956521739130435,0.5043478260869565,0.0,700,0.7285714285714285,0.0,1,0.9441718604959555,0.7254941919706541,0.8205128205128205,7120,421,2694,0.5058281550311435,1.9764705882352942,1.9529411764705882,127.83447050000001,513,-1.951418699805068,-1001.0777929999999,700,-1.6669636185714287
m8,alpha,alpha_F,1033,842,13356.8295205,12459.547818000001,0.8657749117554997,0.9614767056548728,0.9930362116991643,0.8467933491686461,0.9141025641025642,713,5,129,0.6950629235237173,0.30493707647628265,0.0,842,0.8467933491686461,0.0,1,0.9114467277378889,0.7955625990491284,0.8495711373514367,11044,1073,2838,0.6031281222355971,1.8288920056100981,1.8695652173913044,479.982828,718,-2.809148701949861,-2016.9687680000002,842,-2.6017574667458434
m8,alpha,alpha_G,1037,650,5828.545406499999,5034.8492205,0.831426244303132,0.9795201686318303,0.9920948616600791,0.7723076923076924,0.8685121107266437,502,4,148,0.4879459980713597,0.5120540019286403,0.0,650,0.7723076923076924,0.0,1,0.9469063545150501,0.7182875264270613,0.8169031017071411,6795,381,2665,0.5280504590868901,1.7749003984063745,2.2928286852589643,103.112863,506,-1.7567816205533597,-888.9315,650,-1.5788786
m8,alpha,alpha_H,1039,0,0.0,0.0,0.0,,,,0.0,0,0,0,0.0,1.0,0.0,0,,,1,,,0.0,0,0,0,,,,0.0,0,,0.0,0,
m8,alpha,alpha_I,1042,148,1199.690992,1238.3279205000001,0.7820670827145323,0.8640151621292624,0.9485294117647058,0.8716216216216216,0.908450704225352,129,7,19,0.13051823416506717,0.8694817658349329,0.0,148,0.8716216216216216,0.0,1,0.829064587973274,0.7971092077087795,0.8127729257641921,1489,307,379,0.5345854795994665,2.255813953488372,2.364341085271318,168.3938215,135,-1.9916840666666664,-268.877349,148,-1.6395225202702703
m8,alpha,alpha_J,1055,387,1542.0867715000002,1551.6900495,0.8210416415157857,0.8989371185627366,0.8969359331476323,0.8320413436692506,0.8632707774798928,322,37,65,0.3402843601895735,0.6597156398104266,0.0,387,0.8320413436692506,0.0,1,0.8288744275729092,0.8012581547064306,0.814832365833432,3439,710,853,0.5375679038533587,1.8354037267080745,1.6211180124223603,156.8182675,358,-1.013144407821229,-362.705698,387,-0.8996256770025839
m8,beta,beta_A,337,26,754.99691,544.2876934999999,0.7204925322254319,0.999660355172076,0.8518518518518519,0.8846153846153846,0.8679245283018868,23,4,3,0.08011869436201781,0.9198813056379822,0.0,26,0.8846153846153846,0.0,1,0.968421052631579,0.6052631578947368,0.7449392712550608,276,9,180,0.5612393288274968,3.0,2.3043478260869565,0.184864500000001,27,-3.981377037037037,-107.49718,26,-4.531903038461539
m8,beta,beta_B,231,125,4769.1721835,119.63723299999998,0.02399732254875092,0.9576365536638581,1.0,0.064,0.12030075187969924,8,0,117,0.03463203463203463,0.9653679653679653,0.0,125,0.064,0.0,1,0.9349593495934959,0.041848617176128096,0.08011145942180425,115,8,2633,0.04483376623376623,2.375,1.875,5.0682455,8,-3.281996125,-26.255969,125,-6.036133711999999
m8,beta,beta_C,339,0,0.0,2.93975,0.0,0.0,0.0,,0.0,0,1,0,0.0029498525073746312,0.9970501474926253,0.0,0,,,1,0.0,,0.0,0,9,0,,,,2.93975,1,-1.3475709999999999,-1.3475709999999999,0,
m8,beta,beta_D,188,45,475.14381699999996,477.9659305,0.9040827181410407,0.9468219691445142,0.5443037974683544,0.9555555555555556,0.6935483870967742,43,36,2,0.42021276595744683,0.5797872340425532,0.0,45,0.9555555555555556,0.0,1,0.4481576692373608,0.9079861111111112,0.6001147446930579,523,644,53,0.5215328553014685,5.395348837209302,4.0,25.417287,64,-1.8499452812500001,-118.39649800000001,45,-2.4036925555555553
