regime,variant,weight_F1_bridge_improvement,weight_F2_roughness_improvement,weight_F3_slope_continuity_improvement,weight_F4_duration_plausibility,weight_F5_n_height_ratio,weight_F6_solar_strength_ratio,weight_F7_solar_peak_alignment,weight_F8_site_centered_core_score,weight_F9_site_rank_core_score,beta_all_pooled_precision,beta_all_pooled_recall,beta_all_pooled_f1,beta_all_site_avg_precision,beta_all_site_avg_recall,beta_all_site_avg_f1,beta_all_positive_site_avg_precision,beta_all_positive_site_avg_recall,beta_all_positive_site_avg_f1,beta_sure_pooled_precision,beta_sure_pooled_recall,beta_sure_pooled_f1,beta_sure_site_avg_precision,beta_sure_site_avg_recall,beta_sure_site_avg_f1,beta_sure_positive_site_avg_precision,beta_sure_positive_site_avg_recall,beta_sure_positive_site_avg_f1
R1_beta_loso,G_b1p0_r1p0_sc1p0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.796583850931677,0.8091482649842271,0.8028169014084507,0.6603731936026676,0.663533741474918,0.6353799649812203,0.6603731936026676,0.663533741474918,0.6353799649812203,0.8875,0.8838174273858921,0.8856548856548856,0.6337550719601017,0.6773585807901463,0.650982946137166,0.7242915108115449,0.7741240923315958,0.7439805098710469
R2_beta_loso_plus_alpha,G_b1p0_r1p0_sc1p0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7926267281105991,0.8138801261829653,0.8031128404669262,0.647885115643507,0.688533741474918,0.6571463579252476,0.647885115643507,0.688533741474918,0.6571463579252476,0.8824742268041237,0.8879668049792531,0.8852119958634952,0.7126629613096078,0.7398585807901463,0.719742350105168,0.814471955782409,0.8455526637601672,0.8225626858344776
R1_beta_loso,G_b1p5_r0p5_sc0p0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7507002801120448,0.8454258675078864,0.7952522255192878,0.6318221724585155,0.6876901395283748,0.629426210916781,0.6318221724585155,0.6876901395283748,0.629426210916781,0.8532818532818532,0.91701244813278,0.8839999999999999,0.605815208858663,0.6951950736550088,0.6435254712027336,0.692360238695615,0.7945086556057243,0.7354576813745527
R1_beta_loso,G_b1p0_r1p5_sc1p0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8028391167192429,0.8028391167192429,0.8028391167192429,0.6660686903611167,0.6599043201984379,0.636659060422145,0.6660686903611167,0.6599043201984379,0.636659060422145,0.890295358649789,0.8755186721991701,0.8828451882845189,0.6376836537452406,0.6726891047320065,0.65052208321309,0.7287813185659892,0.7687875482651503,0.7434538093863885
R1_beta_loso,G_b1p0_r2p0_sc1p0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8028391167192429,0.8028391167192429,0.8028391167192429,0.6654963926651942,0.6599043201984379,0.63595898010764,0.6654963926651942,0.6599043201984379,0.63595898010764,0.890295358649789,0.8755186721991701,0.8828451882845189,0.6361592839266411,0.6726891047320065,0.6493635861479687,0.727039181630447,0.7687875482651503,0.7421298127405356
R1_beta_loso,G_b1p5_r0p5_sc1p0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7863636363636364,0.8186119873817035,0.8021638330757341,0.6494933605814817,0.671789748627984,0.6312593148872812,0.6494933605814817,0.671789748627984,0.6312593148872812,0.8689516129032258,0.8941908713692946,0.8813905930470348,0.6109669636621505,0.6848309279967455,0.6397304321942474,0.6982479584710292,0.7826639177105663,0.7311204939362828
R1_beta_loso,G_b1p5_r1p0_sc1p0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7822822822822822,0.8217665615141956,0.8015384615384616,0.6465239360481503,0.6732824177677119,0.6302194549060747,0.6465239360481503,0.6732824177677119,0.6302194549060747,0.8642714570858283,0.8983402489626556,0.8809766022380469,0.6064449422643327,0.6865592275842971,0.6377673145062477,0.6930799340163801,0.7846391172391967,0.7288769308642831
R1_beta_loso,G_b2p0_r1p5_sc0p5,2.0,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.8057324840764332,0.7981072555205048,0.8019017432646592,0.670129798929141,0.6541640802670214,0.6364566139445478,0.670129798929141,0.6541640802670214,0.6364566139445478,0.8863157894736842,0.8734439834024896,0.8798328108672936,0.6312829996456414,0.6690448222158505,0.6443642021130507,0.7214662853093045,0.7646226539609718,0.7364162309863437
R1_beta_loso,G_b1p5_r1p0_sc0p5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7454289732770746,0.8359621451104101,0.788104089219331,0.6171898049984503,0.680845217977571,0.6127391356369825,0.6171898049984503,0.680845217977571,0.6127391356369825,0.833648393194707,0.9149377593360996,0.8724035608308605,0.5821156437901721,0.6934783535023807,0.6228834779979846,0.6652750214744823,0.7925466897170067,0.7118668319976967
R1_beta_loso,G_b1p5_r1p5_sc0p0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7514285714285714,0.8296529968454258,0.7886056971514243,0.6234223660779311,0.6766817785200139,0.6138916812392603,0.6234223660779311,0.6766817785200139,0.6138916812392603,0.833969465648855,0.9066390041493776,0.8687872763419483,0.5833376943165798,0.6885686730947846,0.6207451849191832,0.6666716506475198,0.7869356263940397,0.7094230684790663
