regime,variant,substation_id,date,confidence,day_group,true_day,pred_day,score,threshold,confidence_score,true_start_time,true_end_time,pred_start_time,pred_end_time,v03_selected_duration_h
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2024-04-14,sure,FP_day,False,True,3.7023162436907575,3.690327091222695,0.011989152468062425,,,08:45,14:45,6.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2024-06-06,sure,FP_day,False,True,3.8938386911412475,3.690327091222695,0.2035115999185524,,,10:30,15:00,4.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2024-06-09,sure,FP_day,False,True,4.2723325903328115,3.690327091222695,0.5820054991101165,,,12:15,13:15,1.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2024-09-25,sure,FP_day,False,True,3.9195173736648052,3.690327091222695,0.22919028244211015,,,13:00,13:45,1.0
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_D,2024-09-29,sure,FP_day,False,True,4.305588700425166,3.690327091222695,0.615261609202471,,,09:45,13:00,3.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,2023-11-02,sure,FP_day,False,True,4.674835566112659,3.6775555499703607,0.9972800161422981,,,13:15,15:15,2.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,2024-03-21,sure,FP_day,False,True,3.7749795281352423,3.6775555499703607,0.09742397816488158,,,14:45,15:15,0.75
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,2024-04-03,sure,FP_day,False,True,3.837787698669438,3.6775555499703607,0.1602321486990772,,,13:45,14:45,1.25
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,2024-04-12,sure,FP_day,False,True,4.295610710465403,3.6775555499703607,0.6180551604950422,,,11:15,12:30,1.5
R2_beta_loso_plus_alpha,G_b1p0_r1p5_sc0p5,beta_E,2024-08-20,sure,FP_day,False,True,3.6850578102045293,3.6775555499703607,0.007502260234168556,,,11:15,13:45,2.75
