weight_id,search_origin,weight_F1,weight_F3,weight_F4,excluded_outer_substation,inner_substations,inner_macro_precision,inner_macro_recall,inner_macro_f1,inner_pooled_tp,inner_pooled_fp,inner_pooled_fn,mean_inner_threshold,minimum_inner_threshold,maximum_inner_threshold,selection_context
weight_0942,random,0.16696250619957834,0.16230527390483673,0.670732219895585,none_full_beta_loso,8,0.6470400419814046,0.6855139843816314,0.6386230654996375,394,90,77,0.7939861863851547,0.7688682079315186,0.8044865131378174,full_beta_model_selection
weight_0943,random,0.21701242775029517,0.4311491455243406,0.35183842672536414,none_full_beta_loso,8,0.5672910631557249,0.6469003676062499,0.586719637309151,371,112,100,0.6305134743452072,0.6114989519119263,0.6352179050445557,full_beta_model_selection
weight_0944,random,0.4069694826451589,0.10810361071185673,0.4849269066429844,none_full_beta_loso,8,0.6962181996086105,0.6724274532656885,0.6635429344780936,376,53,95,0.7244017273187637,0.7069555521011353,0.7559835314750671,full_beta_model_selection
weight_0945,random,0.14294610300147556,0.4046613072178587,0.45239258978066565,none_full_beta_loso,8,0.5030664358306558,0.49041729349082286,0.4790425201507454,324,125,147,0.7375062704086304,0.7252203226089478,0.758947491645813,full_beta_model_selection
weight_0946,random,0.5003109082991619,0.2625584941263486,0.23713059757448962,none_full_beta_loso,8,0.6704600381575121,0.6879468489027313,0.660391651310741,394,68,77,0.5620430335402489,0.5433871150016785,0.5662623643875122,full_beta_model_selection
weight_0947,random,0.35210939677627906,0.13831169967825552,0.5095789035454653,none_full_beta_loso,8,0.7114090256946923,0.6850228186845834,0.6819553530210389,386,48,85,0.7217196673154831,0.7145792245864868,0.7431409955024719,full_beta_model_selection
weight_0948,random,0.1905838387727561,0.6586135567725071,0.15080260445473678,none_full_beta_loso,8,0.5196024317927314,0.4164877948848537,0.4233332624614532,263,96,208,0.6561425849795341,0.6054530143737793,0.677681565284729,full_beta_model_selection
weight_0949,random,0.2943150418210091,0.4173065877931248,0.28837837038586617,none_full_beta_loso,8,0.5997154150423509,0.687155186316951,0.6260794608339284,405,105,66,0.5542566627264023,0.5487353205680847,0.5907957553863525,full_beta_model_selection
weight_0950,random,0.10229020643200064,0.19797696747455618,0.6997328260934432,none_full_beta_loso,8,0.5797139784161283,0.6495343545343546,0.5963666627820273,374,104,97,0.8284844905138016,0.8187251091003418,0.8298786878585815,full_beta_model_selection
weight_0951,random,0.3079457579806988,0.1087410045238823,0.583313237495419,none_full_beta_loso,8,0.7099238891803151,0.690846348096348,0.684303176582172,389,48,82,0.7660114616155624,0.7585153579711914,0.7867622375488281,full_beta_model_selection
weight_0952,random,0.8631279797896299,0.0508434066817342,0.086028613528636,none_full_beta_loso,8,0.6282196980944232,0.6399493464052288,0.5895167226945949,345,96,126,0.6313630118966103,0.5940477848052979,0.7138381600379944,full_beta_model_selection
weight_0953,random,0.06109621634798883,0.8215179103999196,0.11738587325209146,none_full_beta_loso,8,0.25104776112998317,0.7291813496960555,0.3389610441212642,416,1238,55,0.649835392832756,0.6482904553413391,0.6606499552726746,full_beta_model_selection
weight_0954,random,0.5755470624708032,0.2988621584116272,0.12559077911756966,none_full_beta_loso,8,0.5858553407279045,0.659474626680509,0.6052111579961537,394,85,77,0.5083446130156517,0.5023523569107056,0.5495039224624634,full_beta_model_selection
weight_0955,random,0.1914706669876753,0.2880556456839131,0.5204736873284116,none_full_beta_loso,8,0.6070240579194742,0.6760334649011119,0.6267129278797114,400,96,71,0.7064894959330559,0.7018468379974365,0.7234228849411011,full_beta_model_selection
weight_0956,random,0.25793697906233154,0.17676217438297137,0.5653008465546971,none_full_beta_loso,8,0.7110905461659631,0.696819306510483,0.6901688860540458,398,51,73,0.740823432803154,0.7407474517822266,0.741355299949646,full_beta_model_selection
weight_0957,random,0.6561745596120014,0.14038413094807956,0.20344130943991912,none_full_beta_loso,8,0.6677904969155115,0.6526419511860688,0.6336380442339009,359,64,112,0.6162205338478088,0.5744151473045349,0.6473669409751892,full_beta_model_selection
weight_0958,random,0.2773955613802963,0.1251283399050745,0.5974760987146294,none_full_beta_loso,8,0.638414221328096,0.6686551716257598,0.6438237001714777,398,53,73,0.7674059942364693,0.7585781812667847,0.7837525606155396,full_beta_model_selection
weight_0959,random,0.7217048348632105,0.18947718849310674,0.08881797664368271,none_full_beta_loso,8,0.6291500571188071,0.6628822043969103,0.6077691628265048,365,101,106,0.5163982957601547,0.4883003532886505,0.5955809354782104,full_beta_model_selection
weight_0960,random,0.4483592219455669,0.2468325652785343,0.30480821277589887,none_full_beta_loso,8,0.6317906003612932,0.6515275084392731,0.6317358040486655,389,57,82,0.6057514101266861,0.5973354578018188,0.632076621055603,full_beta_model_selection
weight_0961,random,0.1256709648724721,0.17144249740427553,0.7028865377232524,none_full_beta_loso,8,0.6048771215803395,0.6914035523300229,0.6316432269626917,407,101,64,0.8092987239360809,0.8068236708641052,0.8200388550758362,full_beta_model_selection
weight_0962,random,0.588332578146643,0.22509423716107851,0.18657318469227852,none_full_beta_loso,8,0.587453303336008,0.647029503176562,0.594628758780569,378,79,93,0.5619247853755951,0.5293188095092773,0.5891433954238892,full_beta_model_selection
weight_0963,random,0.40374673193632643,0.4231783425099089,0.17307492555376464,none_full_beta_loso,8,0.5906342728851657,0.6527775443510737,0.5916093261888623,382,115,89,0.49776824563741684,0.426066517829895,0.5322073698043823,full_beta_model_selection
weight_0964,random,0.5993424772845511,0.11683315815712707,0.2838243645583218,none_full_beta_loso,8,0.6674463820237715,0.6401416540975364,0.620151837694277,349,66,122,0.648064635694027,0.6175155639648438,0.7221904993057251,full_beta_model_selection
weight_0965,random,0.514359153042773,0.10853457463176452,0.37710627232546234,none_full_beta_loso,8,0.6838730571785161,0.6654357717445953,0.65203429799017,371,58,100,0.6859112530946732,0.6581575870513916,0.7188897728919983,full_beta_model_selection
weight_0966,random,0.5335873562768183,0.3457071243857924,0.12070551933738943,none_full_beta_loso,8,0.5934072247532521,0.6476398927869516,0.6035856764815869,389,81,82,0.49728237837553024,0.4927695691585541,0.5267525911331177,full_beta_model_selection
weight_0967,random,0.08523244589541434,0.11814051848742027,0.7966270356171654,none_full_beta_loso,8,0.6025488278394441,0.6899329640947288,0.6291970480671436,406,103,65,0.870930515229702,0.8682584166526794,0.8765422701835632,full_beta_model_selection
weight_0968,random,0.3835926508229721,0.19030185689370416,0.42610549228332384,none_full_beta_loso,8,0.6360111162134832,0.6669421591480416,0.6415623868132201,397,55,74,0.663386158645153,0.6539136171340942,0.6778291463851929,full_beta_model_selection
weight_0969,random,0.23725688882706963,0.2932316867785213,0.46951142439440896,none_full_beta_loso,8,0.5954006856261803,0.6916488625753332,0.6219025953377868,401,110,70,0.6548551321029663,0.6391997337341309,0.6866015791893005,full_beta_model_selection
weight_0970,random,0.44167302419258947,0.18013341230654123,0.37819356350086925,none_full_beta_loso,8,0.6399132155654388,0.6547728186845834,0.6355038136483752,386,52,85,0.6506804972887039,0.6378752589225769,0.6735188961029053,full_beta_model_selection
weight_0971,random,0.2116341010673019,0.24716345420391944,0.5412024447287785,none_full_beta_loso,8,0.6042983412676883,0.7135312155165097,0.6409591105308959,421,105,50,0.6979033648967743,0.6950371861457825,0.717966616153717,full_beta_model_selection
weight_0972,random,0.6146182837012308,0.3039045994761364,0.08147711682263287,none_full_beta_loso,8,0.5417794955689168,0.6709922756981581,0.5687823450393816,397,136,74,0.4486208204180002,0.23074866831302643,0.5285828113555908,full_beta_model_selection
weight_0973,random,0.20329548841139128,0.7095499474953206,0.08715456409328816,none_full_beta_loso,8,0.503408186141237,0.3969075385398915,0.39173787142264055,256,113,215,0.6363180801272392,0.5769398212432861,0.6589831709861755,full_beta_model_selection
weight_0974,random,0.3676737644591236,0.4449396973652518,0.1873865381756245,none_full_beta_loso,8,0.5550069077499794,0.6931194508106273,0.5957654078209853,402,140,69,0.46473876386880875,0.4455861449241638,0.5220719575881958,full_beta_model_selection
weight_0975,random,0.09831137232160836,0.5174453037286085,0.3842433239497832,none_full_beta_loso,8,0.39589137491781723,0.4043596452567041,0.3445155039221339,250,265,221,0.7825670465826988,0.6838955283164978,0.7982398271560669,full_beta_model_selection
weight_0976,random,0.3732312742303841,0.21316045725507105,0.4136082685145449,none_full_beta_loso,8,0.700456881155625,0.682327122224181,0.6759117885958252,388,54,83,0.6602860689163208,0.634658694267273,0.6679562330245972,full_beta_model_selection
weight_0977,random,0.422283692426762,0.525359302249195,0.05235700532404312,none_full_beta_loso,8,0.539149267855061,0.7101194508106272,0.5940426328164221,419,156,52,0.3666190467774868,0.35519662499427795,0.40839213132858276,full_beta_model_selection
weight_0978,random,0.29848430951696797,0.22030517853703818,0.48121051194599374,none_full_beta_loso,8,0.7048934924263532,0.6899257490875137,0.6824200392793129,397,54,74,0.6853699162602425,0.6820114254951477,0.6914830207824707,full_beta_model_selection
weight_0979,random,0.22694416542286416,0.5692459469112888,0.20380988766584707,none_full_beta_loso,8,0.5300158711414236,0.5431133294809765,0.5219688962194684,344,129,127,0.5924530848860741,0.5843673944473267,0.6286420822143555,full_beta_model_selection
weight_0980,random,0.08217324201616896,0.3595889295462825,0.5582378284375484,none_full_beta_loso,8,0.48291015469035037,0.40304175073292725,0.4165393634443978,256,127,215,0.8365074694156647,0.8338124752044678,0.8527321815490723,full_beta_model_selection
weight_0981,random,0.5352542726921579,0.10356322875695273,0.3611824985508894,none_full_beta_loso,8,0.7022629766668784,0.6697887129210659,0.665981669540717,373,52,98,0.6853792741894722,0.6655038595199585,0.7114721536636353,full_beta_model_selection
weight_0982,random,0.4958783975472931,0.30256542601245506,0.2015561764402517,none_full_beta_loso,8,0.6764795766249255,0.6701061732385263,0.6556885817120394,385,64,86,0.5443826019763947,0.5397793054580688,0.5483255386352539,full_beta_model_selection
weight_0983,random,0.08227277566102567,0.8600753271734948,0.05765189716547959,none_full_beta_loso,8,0.2542759442437976,0.7222843480049362,0.3384494218591082,408,1196,63,0.6240024343132973,0.5566726922988892,0.63511723279953,full_beta_model_selection
weight_0984,random,0.2660997348959949,0.5170825864177091,0.2168176786862961,none_full_beta_loso,8,0.5696610390702213,0.6513121323121323,0.5894500543693456,374,113,97,0.5527885183691978,0.5254073143005371,0.5568464398384094,full_beta_model_selection
weight_0985,random,0.15014643783980341,0.11067017462093567,0.7391833875392609,none_full_beta_loso,8,0.7055564871223957,0.6899257490875137,0.6827644648833824,397,53,74,0.8418878763914108,0.8401660323143005,0.8449554443359375,full_beta_model_selection
