cohort,target,applies,rule,c_correct_mean,c_correct_min,c_correct_max,binding,all_attainable,n_days,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,energy_precision,energy_iou,fp_per_station_year,review_days,review_days_per_station_year,auto_share
alpha,0.95,day,L,0.8299999999999998,0.83,0.83,day,True,10393,1839,2,596,1837,0.9989124524197933,0.5433303756285123,0.9503488409814875,0.8548683621754092,0.07028769363994997,966,33.948956028095836,0.9070528240161647
alpha,0.95,day,E,0.6850000000000002,0.685,0.685,day,True,10393,2163,2,776,2161,0.9990753582986592,0.6391600118308193,0.9337413905043134,0.8767318692221509,0.07028769363994997,453,15.920162609448667,0.95641297026845
alpha,0.95,both,L,0.8299999999999998,0.83,0.83,day,True,10393,1839,2,596,1837,0.9989124524197933,0.5433303756285123,0.9503488409814875,0.8548683621754092,0.07028769363994997,966,33.948956028095836,0.9070528240161647
alpha,0.95,both,E,0.82,0.82,0.82,energy,True,10393,1863,2,615,1861,0.9989264626945786,0.5504288671990535,0.9486493939720637,0.8573157282830874,0.07028769363994997,922,32.40262676801694,0.9112864427980372
alpha,0.975,energy,L,0.9499999999999998,0.95,0.95,energy,True,10393,1106,0,411,1106,1.0,0.32712215320910976,0.9787305807241322,0.7057965472996012,0.0,1913,67.23017896661214,0.815933801597229
alpha,0.975,energy,E,0.945,0.945,0.945,energy,True,10393,1169,0,423,1169,1.0,0.34575569358178054,0.9773139402709247,0.7248137114871541,0.0,1837,64.55924660829405,0.8232464158568267
alpha,0.975,day,L,0.9499999999999998,0.95,0.95,day,True,10393,1106,0,411,1106,1.0,0.32712215320910976,0.9787305807241322,0.7057965472996012,0.0,1913,67.23017896661214,0.815933801597229
alpha,0.975,day,E,0.865,0.865,0.865,day,True,10393,1718,0,559,1718,1.0,0.5081336882579118,0.9558661695544803,0.8404453587396655,0.0,1135,39.888266140671604,0.8907918791494275
alpha,0.975,both,L,0.9499999999999998,0.95,0.95,both,True,10393,1106,0,411,1106,1.0,0.32712215320910976,0.9787305807241322,0.7057965472996012,0.0,1913,67.23017896661214,0.815933801597229
alpha,0.975,both,E,0.945,0.945,0.945,energy,True,10393,1169,0,423,1169,1.0,0.34575569358178054,0.9773139402709247,0.7248137114871541,0.0,1837,64.55924660829405,0.8232464158568267
alpha,0.99,energy,L,0.99,0.99,0.99,energy,True,10393,149,0,283,149,1.0,0.04406980183377699,0.9969235978170483,0.12979541158475458,0.0,3036,106.69671894544405,0.7078803040508034
alpha,0.99,energy,E,0.99,0.99,0.99,energy,True,10393,149,0,283,149,1.0,0.04406980183377699,0.9969235978170483,0.12979541158475458,0.0,3036,106.69671894544405,0.7078803040508034
alpha,0.99,day,L,0.99,0.99,0.99,day,True,10393,149,0,283,149,1.0,0.04406980183377699,0.9969235978170483,0.12979541158475458,0.0,3036,106.69671894544405,0.7078803040508034
alpha,0.99,day,E,0.9250000000000002,0.925,0.925,day,True,10393,1353,0,462,1353,1.0,0.40017746228926354,0.9704820839707996,0.7735336110189717,0.0,1603,56.335586452419896,0.8457615702876936
alpha,0.99,both,L,0.99,0.99,0.99,both,True,10393,149,0,283,149,1.0,0.04406980183377699,0.9969235978170483,0.12979541158475458,0.0,3036,106.69671894544405,0.7078803040508034
alpha,0.99,both,E,0.99,0.99,0.99,energy,True,10393,149,0,283,149,1.0,0.04406980183377699,0.9969235978170483,0.12979541158475458,0.0,3036,106.69671894544405,0.7078803040508034
