subset_mask,feature_count,feature_set,feature_set_short,beta_sure_support,beta_sure_positive_support,beta_sure_tp,beta_sure_fp,beta_sure_fn,beta_sure_tn,beta_sure_precision,beta_sure_recall,beta_sure_f1,beta_sure_macro_precision,beta_sure_macro_recall,beta_sure_macro_f1,beta_all_support,beta_all_positive_support,beta_all_tp,beta_all_fp,beta_all_fn,beta_all_tn,beta_all_precision,beta_all_recall,beta_all_f1
83,4,F1_bridge_improvement + F2_roughness_improvement + F5_n_height_ratio + F7_solar_peak_alignment,F1+F2+F5+F7,2310,471,446,157,25,1682,0.7396351575456053,0.9469214437367304,0.8305400372439479,0.5353952013330983,0.7571394830659537,0.6110344839093207,2928,630,560,358,70,1940,0.6100217864923747,0.8888888888888888,0.7235142118863049
189,6,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F6_solar_strength_ratio + F8_substation_centered_core_score,F1+F3+F4+F5+F6+F8,2310,471,418,120,53,1719,0.7769516728624535,0.8874734607218684,0.8285431119920713,0.5587181705445907,0.7255649138443256,0.6114880493885861,2928,630,520,268,110,2030,0.6598984771573604,0.8253968253968254,0.7334273624823695
217,5,F1_bridge_improvement + F4_duration_plausibility + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F4+F5+F7+F8,2310,471,441,153,30,1686,0.7424242424242424,0.9363057324840764,0.828169014084507,0.5430960016705462,0.8128010992275698,0.6230834755249057,2928,630,554,325,76,1973,0.6302616609783845,0.8793650793650793,0.7342611000662691
215,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F5_n_height_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F3+F5+F7+F8,2310,471,426,132,45,1707,0.7634408602150538,0.9044585987261147,0.8279883381924199,0.553430976221915,0.7337788175876412,0.6120996133931061,2928,630,530,284,100,2014,0.6511056511056511,0.8412698412698413,0.7340720221606649
109,5,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment,F1+F3+F4+F6+F7,2310,471,454,172,17,1667,0.7252396166134185,0.9639065817409767,0.8277119416590702,0.5367805120685758,0.793383541295306,0.6248958414464674,2928,630,577,400,53,1898,0.5905834186284544,0.9158730158730158,0.7181082762912258
11,3,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility,F1+F2+F4,2310,471,415,117,56,1722,0.7800751879699248,0.881104033970276,0.8275174476570288,0.5848960624445922,0.7220515448603684,0.6222436122158554,2928,630,518,312,112,1986,0.6240963855421687,0.8222222222222222,0.7095890410958904
159,6,F1_bridge_improvement + F2_roughness_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F8_substation_centered_core_score,F1+F2+F3+F4+F5+F8,2310,471,433,143,38,1696,0.7517361111111112,0.9193205944798302,0.8271251193887298,0.5204196769726974,0.7129910873440285,0.5835691440177605,2928,630,544,321,86,1977,0.6289017341040463,0.8634920634920635,0.7277591973244147
235,6,F1_bridge_improvement + F2_roughness_improvement + F4_duration_plausibility + F6_solar_strength_ratio + F7_solar_peak_alignment + F8_substation_centered_core_score,F1+F2+F4+F6+F7+F8,2310,471,425,132,46,1707,0.7630161579892281,0.9023354564755839,0.8268482490272373,0.566448497826085,0.7663086749851455,0.625004748646391,2928,630,530,282,100,2016,0.6527093596059114,0.8412698412698413,0.7350901525658807
157,5,F1_bridge_improvement + F3_slope_continuity_improvement + F4_duration_plausibility + F5_n_height_ratio + F8_substation_centered_core_score,F1+F3+F4+F5+F8,2310,471,417,121,54,1718,0.775092936802974,0.8853503184713376,0.8265609514370664,0.5585968201662035,0.7227871360665479,0.6106903855823205,2928,630,520,260,110,2038,0.6666666666666666,0.8253968253968254,0.7375886524822695
51,4,F1_bridge_improvement + F2_roughness_improvement + F5_n_height_ratio + F6_solar_strength_ratio,F1+F2+F5+F6,2310,471,421,127,50,1712,0.7682481751824818,0.8938428874734607,0.8263002944062808,0.5855875993768801,0.726639780154486,0.6217501040572604,2928,630,526,305,104,1993,0.6329723225030084,0.834920634920635,0.7200547570157425
