c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,cohort
0.82,0.18000000000000005,2288,470,0.9265734265734266,168,0.07342657342657342,0.42857142857142855,393,11,16,382,0.9720101781170484,0.8127659574468085,0.8852838933951331,0.9516302780251258,0.8647010018483293,1.7560096153846154,2.554195804195804,26.819055944055943,0.9481135176389411,20.391387567896146,beta
0.825,0.17500000000000004,2288,470,0.9243881118881119,173,0.07561188811188811,0.4393063583815029,390,11,15,379,0.9717948717948718,0.8063829787234043,0.8813953488372093,0.951678296622709,0.8607325032282013,1.7560096153846154,2.3945585664335667,27.617242132867133,0.9490800588047098,19.858777066163192,beta
0.83,0.17000000000000004,2288,470,0.9217657342657343,179,0.07823426573426573,0.441340782122905,387,11,15,376,0.9715762273901809,0.8,0.8774795799299884,0.9526336482052679,0.8567902462074726,1.7560096153846154,2.3945585664335667,28.57506555944056,0.9500180552573319,19.343012615412604,beta
0.835,0.16500000000000004,2288,470,0.9204545454545454,182,0.07954545454545454,0.45054945054945056,384,11,15,373,0.9713541666666666,0.7936170212765957,0.8735362997658079,0.9534540125664364,0.8528366502047283,1.7560096153846154,2.3945585664335667,29.053977272727273,0.9509344647911964,18.841165520180624,beta
0.84,0.16000000000000003,2288,470,0.9187062937062938,186,0.08129370629370629,0.45698924731182794,381,11,15,370,0.9711286089238845,0.7872340425531915,0.8695652173913044,0.9534776633841767,0.8484681363949511,1.7560096153846154,2.3945585664335667,29.692526223776223,0.9518281992633516,18.35345608066299,beta
0.845,0.15500000000000003,2288,470,0.9178321678321678,188,0.08216783216783216,0.4521276595744681,381,11,15,370,0.9711286089238845,0.7872340425531915,0.8695652173913044,0.9534776633841767,0.8484681363949511,1.7560096153846154,2.3945585664335667,30.0118006993007,0.9518281992633516,18.35345608066299,beta
0.85,0.15000000000000002,2288,470,0.9156468531468531,193,0.08435314685314685,0.46113989637305697,378,11,14,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,2.2349213286713288,30.80998688811189,0.9526546992171747,17.89652369590796,beta
0.855,0.14500000000000002,2288,470,0.9117132867132867,202,0.08828671328671328,0.47029702970297027,372,11,14,361,0.9704301075268817,0.7680851063829788,0.8574821852731592,0.9540726069144051,0.8321278673389001,1.7560096153846154,2.2349213286713288,32.24672202797203,0.9542775995511742,17.008732966963155,beta
0.86,0.14,2288,470,0.909965034965035,206,0.09003496503496504,0.470873786407767,370,11,14,359,0.9702702702702702,0.7638297872340426,0.8547619047619048,0.9541535407402003,0.8293431972362226,1.7560096153846154,2.2349213286713288,32.88527097902098,0.9547951397304071,16.72579829974943,beta
0.865,0.135,2288,470,0.9051573426573427,217,0.09484265734265734,0.4700460829493088,362,8,14,354,0.9779005524861878,0.7531914893617021,0.8509615384615384,0.9591137231899396,0.8298895317680028,1.277097902097902,2.2349213286713288,34.64128059440559,0.9568342780788333,15.625991335462356,beta
0.87,0.13,2288,470,0.9007867132867133,227,0.09921328671328672,0.4713656387665198,356,7,14,349,0.9803370786516854,0.7425531914893617,0.8450363196125907,0.9594638740696058,0.826041803126492,1.1174606643356644,2.2349213286713288,36.23765297202797,0.9583179522971189,14.838808982225657,beta
