fold_id,cohort,held_out,rule,target_energy,target_day,c_correct,threshold_energy,threshold_day,binding,n_calibration_days,attainable,applies,target
beta_beta_B,beta,beta_B,E,0.95,0.95,0.82,0.82,0.765,energy,2058,True,both,0.95
beta_beta_C,beta,beta_C,E,0.95,0.95,0.82,0.82,0.685,energy,1951,True,both,0.95
beta_beta_D,beta,beta_D,E,0.95,0.95,0.82,0.82,0.7,energy,2105,True,both,0.95
beta_beta_E,beta,beta_E,E,0.95,0.95,0.82,0.82,0.685,energy,1983,True,both,0.95
beta_beta_F,beta,beta_F,E,0.95,0.95,0.83,0.83,0.665,energy,2004,True,both,0.95
beta_beta_G,beta,beta_G,E,0.95,0.95,0.655,0.655,0.61,energy,2006,True,both,0.95
beta_beta_H,beta,beta_H,E,0.95,0.95,0.82,0.82,0.685,energy,1955,True,both,0.95
beta_beta_A,beta,beta_A,L,0.975,,0.945,0.945,,energy,1954,True,energy,0.975
beta_beta_B,beta,beta_B,L,0.975,,0.94,0.94,,energy,2058,True,energy,0.975
beta_beta_C,beta,beta_C,L,0.975,,0.95,0.95,,energy,1951,True,energy,0.975
beta_beta_D,beta,beta_D,L,0.975,,0.945,0.945,,energy,2105,True,energy,0.975
beta_beta_E,beta,beta_E,L,0.975,,0.95,0.95,,energy,1983,True,energy,0.975
beta_beta_F,beta,beta_F,L,0.975,,0.955,0.955,,energy,2004,True,energy,0.975
beta_beta_G,beta,beta_G,L,0.975,,0.955,0.955,,energy,2006,True,energy,0.975
beta_beta_H,beta,beta_H,L,0.975,,0.95,0.95,,energy,1955,True,energy,0.975
beta_beta_A,beta,beta_A,E,0.975,,0.95,0.95,,energy,1954,True,energy,0.975
beta_beta_B,beta,beta_B,E,0.975,,0.925,0.925,,energy,2058,True,energy,0.975
beta_beta_C,beta,beta_C,E,0.975,,0.945,0.945,,energy,1951,True,energy,0.975
beta_beta_D,beta,beta_D,E,0.975,,0.945,0.945,,energy,2105,True,energy,0.975
beta_beta_E,beta,beta_E,E,0.975,,0.945,0.945,,energy,1983,True,energy,0.975
beta_beta_F,beta,beta_F,E,0.975,,0.95,0.95,,energy,2004,True,energy,0.975
beta_beta_G,beta,beta_G,E,0.975,,0.99,0.99,,energy,2006,True,energy,0.975
beta_beta_H,beta,beta_H,E,0.975,,0.945,0.945,,energy,1955,True,energy,0.975
beta_beta_A,beta,beta_A,L,,0.975,0.95,,0.95,day,1954,True,day,0.975
beta_beta_B,beta,beta_B,L,,0.975,0.945,,0.945,day,2058,True,day,0.975
beta_beta_C,beta,beta_C,L,,0.975,0.95,,0.95,day,1951,True,day,0.975
beta_beta_D,beta,beta_D,L,,0.975,0.95,,0.95,day,2105,True,day,0.975
beta_beta_E,beta,beta_E,L,,0.975,0.95,,0.95,day,1983,True,day,0.975
beta_beta_F,beta,beta_F,L,,0.975,0.955,,0.955,day,2004,True,day,0.975
beta_beta_G,beta,beta_G,L,,0.975,0.955,,0.955,day,2006,True,day,0.975
beta_beta_H,beta,beta_H,L,,0.975,0.95,,0.95,day,1955,True,day,0.975
beta_beta_A,beta,beta_A,E,,0.975,0.865,,0.865,day,1954,True,day,0.975
