c_correct,c_keep,n_days,n_rpf,auto_share,review_days,review_share,review_yield,corrected_days,auto_fp,auto_fn,tp,day_precision,day_recall,day_f1,energy_precision,energy_iou,fp_per_station_year,auto_fn_per_station_year,review_days_per_station_year,expected_day_precision,expected_fp,no_review_band,cohort
0.85,0.3,2288,470,0.9361888111888111,146,0.06381118881118882,0.541095890410959,378,11,24,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,3.8312937062937062,23.307036713286713,0.9526546992171747,17.89652369590796,False,beta
0.85,0.5,2288,470,0.9558566433566433,101,0.04414335664335664,0.6732673267326733,378,11,35,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,5.587303321678322,16.123361013986013,0.9526546992171747,17.89652369590796,False,beta
0.85,0.85,2288,470,1.0,0,0.0,,378,11,103,367,0.9708994708994709,0.7808510638297872,0.865566037735849,0.9544461077392733,0.8424003550443142,1.7560096153846154,16.44263548951049,0.0,0.9526546992171747,17.89652369590796,True,beta
0.9,0.05,2288,470,0.8715034965034965,294,0.1284965034965035,0.4217687074829932,342,5,9,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,1.4367351398601398,46.9333479020979,0.9612552863187476,13.250692078988319,False,beta
0.9,0.1,2288,470,0.888548951048951,255,0.11145104895104894,0.47058823529411764,342,5,13,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,2.075284090909091,40.707495629370634,0.9612552863187476,13.250692078988319,False,beta
0.9,0.2,2288,470,0.9064685314685315,214,0.09353146853146853,0.5420560747663551,342,5,17,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,2.713833041958042,34.16236888111888,0.9612552863187476,13.250692078988319,False,beta
0.9,0.3,2288,470,0.9204545454545454,182,0.07954545454545454,0.5989010989010989,342,5,24,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,3.8312937062937062,29.053977272727273,0.9612552863187476,13.250692078988319,False,beta
0.9,0.5,2288,470,0.9401223776223776,137,0.059877622377622376,0.7153284671532847,342,5,35,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,5.587303321678322,21.870301573426573,0.9612552863187476,13.250692078988319,False,beta
0.9,0.9,2288,470,1.0,0,0.0,,342,5,133,337,0.9853801169590644,0.7170212765957447,0.8300492610837438,0.9628290767014086,0.8069233591256753,0.7981861888111889,21.231752622377623,0.0,0.9612552863187476,13.250692078988319,True,beta
0.95,0.05,2288,470,0.8256118881118881,399,0.1743881118881119,0.5614035087719298,237,0,9,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,1.4367351398601398,63.69525786713287,0.975131858964423,5.893749425431704,False,beta
0.95,0.1,2288,470,0.8426573426573427,360,0.15734265734265734,0.6111111111111112,237,0,13,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,2.075284090909091,57.46940559440559,0.975131858964423,5.893749425431704,False,beta
0.95,0.2,2288,470,0.8605769230769231,319,0.13942307692307693,0.677115987460815,237,0,17,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,2.713833041958042,50.92427884615385,0.975131858964423,5.893749425431704,False,beta
0.95,0.3,2288,470,0.8745629370629371,287,0.12543706293706294,0.7282229965156795,237,0,24,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,3.8312937062937062,45.81588723776224,0.975131858964423,5.893749425431704,False,beta
0.95,0.5,2288,470,0.8942307692307693,242,0.10576923076923077,0.8181818181818182,237,0,35,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,5.587303321678322,38.63221153846154,0.975131858964423,5.893749425431704,False,beta
0.95,0.95,2288,470,1.0,0,0.0,,237,0,233,237,1.0,0.5042553191489362,0.6704384724186704,0.9798529568090713,0.6608635852814951,0.0,37.1954763986014,0.0,0.975131858964423,5.893749425431704,True,beta
0.7,0.05,10393,3381,0.8970460887135572,1070,0.1029539112864428,0.2953271028037383,3130,71,6,3059,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.8885742368962344,0.8692058067623027,2.495213124218224,0.2108630809198499,37.60391609737323,0.9909986307768714,28.174285668391732,False,alpha
0.7,0.1,10393,3381,0.9377465601847397,647,0.06225343981526027,0.4574961360123648,3130,71,26,3059,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.8885742368962344,0.8692058067623027,2.495213124218224,0.9137400173193496,22.738068892523813,0.9909986307768714,28.174285668391732,False,alpha
0.7,0.2,10393,3381,0.9630520542672953,384,0.036947945732704705,0.6145833333333334,3130,71,86,3059,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.8885742368962344,0.8692058067623027,2.495213124218224,3.0223708265178484,13.495237178870394,0.9909986307768714,28.174285668391732,False,alpha
0.7,0.3,10393,3381,0.9769075339170595,240,0.02309246608294044,0.7,3130,71,154,3059,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.8885742368962344,0.8692058067623027,2.495213124218224,5.412152410276147,8.434523236793996,0.9909986307768714,28.174285668391732,False,alpha
0.7,0.5,10393,3381,0.9955739440007697,46,0.004426055999230251,0.717391304347826,3130,71,289,3059,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.8885742368962344,0.8692058067623027,2.495213124218224,10.15657173097277,1.6166169537188493,0.9909986307768714,28.174285668391732,False,alpha
0.7,0.7,10393,3381,1.0,0,0.0,,3130,71,322,3059,0.9773162939297124,0.9047619047619048,0.9396406082015051,0.8885742368962344,0.8692058067623027,2.495213124218224,11.316318676031944,0.0,0.9909986307768714,28.174285668391732,True,alpha
0.75,0.05,10393,3381,0.8952179351486578,1089,0.10478206485134225,0.3039485766758494,3111,67,6,3044,0.9784635165541626,0.9003253475303165,0.9377695625385088,0.8887785011550625,0.8693401894789325,2.354637736938324,0.2108630809198499,38.27164918695276,0.9926280930779136,22.93400243461127,False,alpha
0.75,0.1,10393,3381,0.9359184066198403,666,0.06408159338015973,0.466966966966967,3111,67,26,3044,0.9784635165541626,0.9003253475303165,0.9377695625385088,0.8887785011550625,0.8693401894789325,2.354637736938324,0.9137400173193496,23.405801982103338,0.9926280930779136,22.93400243461127,False,alpha
0.75,0.2,10393,3381,0.9612239007023958,403,0.03877609929760416,0.6228287841191067,3111,67,86,3044,0.9784635165541626,0.9003253475303165,0.9377695625385088,0.8887785011550625,0.8693401894789325,2.354637736938324,3.0223708265178484,14.162970268449918,0.9926280930779136,22.93400243461127,False,alpha
0.75,0.3,10393,3381,0.9750793803521601,259,0.02492061964783989,0.7065637065637066,3111,67,154,3044,0.9784635165541626,0.9003253475303165,0.9377695625385088,0.8887785011550625,0.8693401894789325,2.354637736938324,5.412152410276147,9.10225632637352,0.9926280930779136,22.93400243461127,False,alpha
